protein_id,protein_name,organism,sequence_length,domain_start,domain_end,domain_score,signature_name
A0A091CPQ0,UPAR/Ly6 domain-containing protein,Fukomys damarensis (Damaraland mole rat),193,1,193,,InterPro:IPR038773
A0A0D9R8B6,UPAR/Ly6 domain-containing protein,Chlorocebus sabaeus (Green monkey),192,1,192,,InterPro:IPR038773
A0A0G2JM12,Casein kinase II subunit beta,Homo sapiens (Human),304,123,297,,InterPro:IPR038773
A0A140T8X3,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),212,13,205,,InterPro:IPR038773
A0A140T990,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),212,13,205,,InterPro:IPR038773
A0A140T9C1,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),212,13,205,,InterPro:IPR038773
A0A140T9M8,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),212,13,205,,InterPro:IPR038773
A0A1A6G1S1,Uncharacterized protein,Neotoma lepida (Desert woodrat),176,106,159,,InterPro:IPR038773
A0A1D5QZG1,Lymphocyte antigen-6 G5B splicing,Macaca mulatta (Rhesus macaque),73,47,71,,InterPro:IPR038773
A0A1S3AMB7,UPAR/Ly6 domain-containing protein,Erinaceus europaeus (Western European hedgehog),192,1,192,,InterPro:IPR038773
A0A1U7UKR1,UPAR/Ly6 domain-containing protein,Carlito syrichta (Philippine tarsier),195,1,194,,InterPro:IPR038773
A0A1U9X7Y3,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),201,1,194,,InterPro:IPR038773
A0A1U9X7Y5,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),201,1,194,,InterPro:IPR038773
A0A1U9X7Y7,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),201,1,194,,InterPro:IPR038773
A0A1U9X7Y8,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),201,1,194,,InterPro:IPR038773
A0A212D585,Casein kinase II subunit beta,Cervus elaphus hippelaphus (European red deer),538,343,538,,InterPro:IPR038773
A0A250YBS8,UPAR/Ly6 domain-containing protein,Castor canadensis (American beaver),194,1,194,,InterPro:IPR038773
A0A286XQR4,UPAR/Ly6 domain-containing protein,Cavia porcellus (Guinea pig),195,3,194,,InterPro:IPR038773
A0A287D998,UPAR/Ly6 domain-containing protein,Ictidomys tridecemlineatus (Thirteen-lined ground squirrel),195,1,195,,InterPro:IPR038773
A0A2I3TLD4,Casein kinase II subunit beta,Pan troglodytes (Chimpanzee),298,123,297,,InterPro:IPR038773
A0A2J8NXV4,UPAR/Ly6 domain-containing protein,Pan troglodytes (Chimpanzee),195,1,194,,InterPro:IPR038773
A0A2J8NXV6,UPAR/Ly6 domain-containing protein,Pan troglodytes (Chimpanzee),140,1,139,,InterPro:IPR038773
A0A2J8R4P2,UPAR/Ly6 domain-containing protein,Pongo abelii (Sumatran orangutan),145,1,139,,InterPro:IPR038773
A0A2J8R4R6,UPAR/Ly6 domain-containing protein,Pongo abelii (Sumatran orangutan),200,1,194,,InterPro:IPR038773
A0A2K5BX95,UPAR/Ly6 domain-containing protein,Aotus nancymaae (Ma's night monkey),200,1,194,,InterPro:IPR038773
A0A2K5J9T8,UPAR/Ly6 domain-containing protein,Colobus angolensis palliatus (Peters' Angolan colobus),198,1,192,,InterPro:IPR038773
A0A2K5JA24,Casein kinase II subunit beta,Colobus angolensis palliatus (Peters' Angolan colobus),296,123,295,,InterPro:IPR038773
A0A2K5NCK1,UPAR/Ly6 domain-containing protein,Cercocebus atys (Sooty mangabey),200,1,193,,InterPro:IPR038773
A0A2K5NCT8,Casein kinase II subunit beta,Cercocebus atys (Sooty mangabey),298,123,296,,InterPro:IPR038773
A0A2K5RY43,UPAR/Ly6 domain-containing protein,Cebus imitator (Panamanian white-faced capuchin),195,1,194,,InterPro:IPR038773
A0A2K5UPW9,UPAR/Ly6 domain-containing protein,Macaca fascicularis (Crab-eating macaque),145,1,138,,InterPro:IPR038773
A0A2K5UPX5,UPAR/Ly6 domain-containing protein,Macaca fascicularis (Crab-eating macaque),200,1,193,,InterPro:IPR038773
A0A2K6A774,Casein kinase II subunit beta,Mandrillus leucophaeus (Drill),298,123,296,,InterPro:IPR038773
A0A2K6BQ41,UPAR/Ly6 domain-containing protein,Macaca nemestrina (Pig-tailed macaque),200,1,193,,InterPro:IPR038773
A0A2K6BQG5,Casein kinase II subunit beta,Macaca nemestrina (Pig-tailed macaque),298,123,296,,InterPro:IPR038773
A0A2K6G0U8,UPAR/Ly6 domain-containing protein,Propithecus coquereli (Coquerel's sifaka),201,3,194,,InterPro:IPR038773
A0A2K6LUM4,Casein kinase II subunit beta,Rhinopithecus bieti (Black snub-nosed monkey),298,123,297,,InterPro:IPR038773
A0A2K6LUN5,UPAR/Ly6 domain-containing protein,Rhinopithecus bieti (Black snub-nosed monkey),200,1,194,,InterPro:IPR038773
A0A2K6RNV8,UPAR/Ly6 domain-containing protein,Rhinopithecus roxellana (Golden snub-nosed monkey),200,1,194,,InterPro:IPR038773
A0A2K6RNW2,Casein kinase II subunit beta,Rhinopithecus roxellana (Golden snub-nosed monkey),298,123,297,,InterPro:IPR038773
A0A2K6UGG3,UPAR/Ly6 domain-containing protein,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),195,1,194,,InterPro:IPR038773
A0A2K6UGU5,Casein kinase II subunit beta,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),298,123,297,,InterPro:IPR038773
A0A2R8ZW72,Casein kinase II subunit beta,Pan paniscus (Pygmy chimpanzee),298,123,297,,InterPro:IPR038773
A0A2U3X084,UPAR/Ly6 domain-containing protein,Odobenus rosmarus divergens (Pacific walrus),195,1,195,,InterPro:IPR038773
A0A2U3Y471,UPAR/Ly6 domain-containing protein,Leptonychotes weddellii (Weddell seal),195,1,195,,InterPro:IPR038773
A0A2Y9ECL1,UPAR/Ly6 domain-containing protein,Trichechus manatus latirostris (Florida manatee),197,1,196,,InterPro:IPR038773
A0A2Y9EX51,UPAR/Ly6 domain-containing protein,Physeter macrocephalus (Sperm whale),197,2,196,,InterPro:IPR038773
