identifier,group,oligomeric_state,lca_phylum,lca_class,lca_order,length
A0A6J2LJE0_IPR039237_1_1-121,none,monomere,Chordata (phylum),Mammalia (class),Chiroptera (order),117-140
A0AAW1BUX8_IPR039237_1_1-111,Ly6,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),95-117
A0A1A8MWW2_IPR039457_1_5-153,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),140-162
A0A6F9AUI5_IPR039457_1_6-151,Ly6,monomere,Chordata (phylum),Actinopteri (class),Salmoniformes (order),140-162
A0A7K5YRM7_IPR039457_1_2-136,none,monomere,Chordata (phylum),Aves (class),Pterocliformes (order),117-140
A0A7M7T1C7_IPR039457_1_9-180,Ly6,monomere,Echinodermata (phylum),Echinoidea (class),Camarodonta (order),162-185
A0A8T2PI43_IPR039457_1_5-168,Ly6,monomere,Chordata (phylum),Actinopteri (class),Albuliformes (order),162-185
A0AA88Q2I8_IPR045860_2_39-120,mixture,mixture,Chordata (phylum),Actinopteri (class),Teleostei (infraclass),72-95
V8NU75_IPR039457_1_60-152,Ly6,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A016U894_IPR045860_1_65-118,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0A097F1L5_IPR045860_1_25-100,none,monomere,Platyhelminthes (phylum),Trematoda (class),Plagiorchiida (order),72-95
A0A0A0QVU8_IPR045860_1_16-106,mostly_Ly6,mixture,Chordata (phylum),Amphibia (class),Caudata (order),72-95
A0A0A1X867_IPR045860_1_114-174,mixture,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),50-72
A0A0B1TH82_IPR045860_1_2-89,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A0B2W0J0_IPR045860_1_2-77,Quiver,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A0B7B7K0_IPR045860_1_139-230,none,monomere,Mollusca (phylum),Gastropoda (class),Stylommatophora (order),72-95
A0A0D6LMV0_IPR045860_1_418-492,mixture,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
