protein_id,domain1,domain2,signature1,signature2,domain1_length,domain2_length
A0A091CPQ0,IPR038773:1-193,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A0D9R8B6,IPR038773:1-192,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,192,79
A0A0D9R8B6,IPR038773:1-192,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,192,81
A0A0D9R8B6,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A0G2JM12,IPR038773:123-297,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,175,81
A0A140T8X3,IPR038773:13-205,IPR045860:38-117,InterPro:IPR038773,InterPro:IPR045860,193,80
A0A140T8X3,IPR038773:13-205,IPR016054:37-117,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A140T8X3,IPR045860:38-117,IPR016054:37-117,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A140T990,IPR038773:13-205,IPR045860:38-117,InterPro:IPR038773,InterPro:IPR045860,193,80
A0A140T990,IPR038773:13-205,IPR016054:37-117,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A140T990,IPR045860:38-117,IPR016054:37-117,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A140T9C1,IPR038773:13-205,IPR045860:38-117,InterPro:IPR038773,InterPro:IPR045860,193,80
A0A140T9C1,IPR038773:13-205,IPR016054:37-117,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A140T9C1,IPR045860:38-117,IPR016054:37-117,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A140T9M8,IPR038773:13-205,IPR045860:38-117,InterPro:IPR038773,InterPro:IPR045860,193,80
A0A140T9M8,IPR038773:13-205,IPR016054:37-117,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A140T9M8,IPR045860:38-117,IPR016054:37-117,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A1S3AMB7,IPR038773:1-192,IPR016054:25-105,InterPro:IPR038773,InterPro:IPR016054,192,81
A0A1U7UKR1,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A1U9X7Y3,IPR038773:1-194,IPR045860:27-106,InterPro:IPR038773,InterPro:IPR045860,194,80
A0A1U9X7Y3,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A1U9X7Y3,IPR045860:27-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A1U9X7Y5,IPR038773:1-194,IPR045860:27-106,InterPro:IPR038773,InterPro:IPR045860,194,80
A0A1U9X7Y5,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A1U9X7Y5,IPR045860:27-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A1U9X7Y7,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A1U9X7Y8,IPR038773:1-194,IPR045860:27-106,InterPro:IPR038773,InterPro:IPR045860,194,80
A0A1U9X7Y8,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A1U9X7Y8,IPR045860:27-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A212D585,IPR038773:343-538,IPR016054:368-448,InterPro:IPR038773,InterPro:IPR016054,196,81
A0A250YBS8,IPR038773:1-194,IPR016054:27-107,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A286XQR4,IPR038773:3-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,192,81
A0A2I3TLD4,IPR038773:123-297,IPR016054:131-209,InterPro:IPR038773,InterPro:IPR016054,175,79
A0A287D998,IPR038773:1-195,IPR045860:26-106,InterPro:IPR038773,InterPro:IPR045860,195,81
A0A287D998,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A287D998,IPR045860:26-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,81,81
A0A2J8NXV4,IPR038773:1-194,IPR016054:27-106,InterPro:IPR038773,InterPro:IPR016054,194,80
A0A2K5BX95,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A2J8R4R6,IPR038773:1-194,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,194,79
A0A2J8R4R6,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A2J8R4R6,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A2K5J9T8,IPR038773:1-192,IPR016054:32-104,InterPro:IPR038773,InterPro:IPR016054,192,73
A0A2K5JA24,IPR038773:123-295,IPR016054:135-207,InterPro:IPR038773,InterPro:IPR016054,173,73
A0A2K5NCK1,IPR038773:1-193,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,193,79
A0A2K5NCK1,IPR038773:1-193,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A2K5NCK1,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A2K5RY43,IPR038773:1-194,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,194,79
A0A2K5RY43,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A2K5RY43,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A2K5NCT8,IPR038773:123-296,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,174,81
A0A2K5UPX5,IPR038773:1-193,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,193,79
A0A2K5UPX5,IPR038773:1-193,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A2K5UPX5,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A2K6A774,IPR038773:123-296,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,174,81
A0A2K6BQ41,IPR038773:1-193,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,193,79
A0A2K6BQ41,IPR038773:1-193,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A2K6BQ41,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A2K6BQG5,IPR038773:123-296,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,174,81
A0A2K6G0U8,IPR038773:3-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,192,81
A0A2K6LUM4,IPR038773:123-297,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,175,81
A0A2K6LUN5,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A2K6RNV8,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A2K6RNW2,IPR038773:123-297,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,175,81
A0A2K6UGG3,IPR038773:1-194,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,194,79
A0A2K6UGG3,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A2K6UGG3,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A2K6UGU5,IPR038773:123-297,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,175,81
A0A2R8ZW72,IPR038773:123-297,IPR045860:139-211,InterPro:IPR038773,InterPro:IPR045860,175,73
A0A2R8ZW72,IPR038773:123-297,IPR016054:130-209,InterPro:IPR038773,InterPro:IPR016054,175,80
A0A2R8ZW72,IPR045860:139-211,IPR016054:130-209,InterPro:IPR045860,InterPro:IPR016054,73,80
A0A2U3X084,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A2U3Y471,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A2Y9ECL1,IPR038773:1-196,IPR016054:28-108,InterPro:IPR038773,InterPro:IPR016054,196,81
A0A2Y9EX51,IPR038773:2-196,IPR016054:27-107,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A2Y9HM06,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
