Entry	Organism (ID)	InterPro	Pfam	Protein names
A0S864	92519	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Irditoxin subunit A (IrTxA)
A0S865	92519	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Irditoxin subunit B (IrTxB)
B3EWF8	430902	IPR045860;		Mipartoxin-1 (Mipartoxin-I) (Three-finger toxin) (3FTx)
B5A5T4	7227	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
C0HJD3	121355	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Fulgimotoxin (FTx)
D3ZTT2	10116	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6
O43653	9606	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Prostate stem cell antigen
O55186	10090	IPR016054;IPR045860;IPR035076;	PF00087;	CD59A glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59)
O95867	9606	IPR016054;IPR039237;IPR045860;	PF00021;	Lymphocyte antigen 6 complex locus protein G6c
O95868	9606	IPR016054;IPR026524;	PF00021;	Lymphocyte antigen 6 complex locus protein G6d (Protein Ly6-D) (Megakaryocyte-enhanced gene transcript 1 protein)
P01391	8649	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-cobratoxin (Alpha-CT) (Alpha-CbT) (Alpha-Cbtx) (Alpha-Ctx) (Alpha-elapitoxin-Nk2a) (Alpha-EPTX-Nk2a) (Long neurotoxin 1) (Siamensis 3)
P01398	8616	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Kappa-bungarotoxin (Kappa-bgt) (Kappa-1-bungarotoxin) (Long neurotoxin 2) (Neuronal bungarotoxin) (nBgt) (Toxin F)
P01445	8649	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 2 (CX2) (Toxin CM-7A)
P01446	8649	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 3 (CX3) (Toxin CM-7)
