protein_id,protein_name,organism,sequence_length,domain_start,domain_end,domain_score,signature_name
A0A091DVJ4,UPAR/Ly6 domain-containing protein,Fukomys damarensis (Damaraland mole rat),172,43,171,,InterPro:IPR042339
A0A096MSF9,UPAR/Ly6 domain-containing protein,Papio anubis (Olive baboon),268,144,268,,InterPro:IPR042339
A0A0D9RA07,UPAR/Ly6 domain-containing protein,Chlorocebus sabaeus (Green monkey),125,1,125,,InterPro:IPR042339
A0A0P6J2F5,UPAR/Ly6 domain-containing protein,Heterocephalus glaber (Naked mole rat),134,5,134,,InterPro:IPR042339
A0A1A6GES9,UPAR/Ly6 domain-containing protein,Neotoma lepida (Desert woodrat),202,91,198,,InterPro:IPR042339
A0A1S3AI51,UPAR/Ly6 domain-containing protein,Erinaceus europaeus (Western European hedgehog),125,1,125,,InterPro:IPR042339
A0A1S3FVM6,UPAR/Ly6 domain-containing protein,Dipodomys ordii (Ord's kangaroo rat),124,1,120,,InterPro:IPR042339
A0A1S3FXP1,UPAR/Ly6 domain-containing protein,Dipodomys ordii (Ord's kangaroo rat),130,23,126,,InterPro:IPR042339
A0A1U7QU12,UPAR/Ly6 domain-containing protein,Mesocricetus auratus (Golden hamster),111,1,96,,InterPro:IPR042339
A0A1U7RBX1,UPAR/Ly6 domain-containing protein,Mesocricetus auratus (Golden hamster),130,4,127,,InterPro:IPR042339
A0A1U7U703,UPAR/Ly6 domain-containing protein,Carlito syrichta (Philippine tarsier),128,1,128,,InterPro:IPR042339
A0A287CXF4,UPAR/Ly6 domain-containing protein,Ictidomys tridecemlineatus (Thirteen-lined ground squirrel),107,16,92,,InterPro:IPR042339
A0A2K5ER68,UPAR/Ly6 domain-containing protein,Aotus nancymaae (Ma's night monkey),123,1,123,,InterPro:IPR042339
A0A2K5JUZ2,UPAR/Ly6 domain-containing protein,Colobus angolensis palliatus (Peters' Angolan colobus),128,1,128,,InterPro:IPR042339
A0A2K5P630,UPAR/Ly6 domain-containing protein,Cercocebus atys (Sooty mangabey),125,1,125,,InterPro:IPR042339
A0A2K5S878,UPAR/Ly6 domain-containing protein,Cebus imitator (Panamanian white-faced capuchin),123,1,123,,InterPro:IPR042339
A0A2K5ZTZ3,UPAR/Ly6 domain-containing protein,Mandrillus leucophaeus (Drill),125,1,125,,InterPro:IPR042339
A0A2K6E5X9,UPAR/Ly6 domain-containing protein,Macaca nemestrina (Pig-tailed macaque),125,1,125,,InterPro:IPR042339
A0A2K6ENJ9,UPAR/Ly6 domain-containing protein,Propithecus coquereli (Coquerel's sifaka),128,1,128,,InterPro:IPR042339
A0A2K6JVU9,UPAR/Ly6 domain-containing protein,Rhinopithecus bieti (Black snub-nosed monkey),128,1,128,,InterPro:IPR042339
A0A2K6RKA5,UPAR/Ly6 domain-containing protein,Rhinopithecus roxellana (Golden snub-nosed monkey),132,5,132,,InterPro:IPR042339
A0A2K6TG80,UPAR/Ly6 domain-containing protein,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),122,1,122,,InterPro:IPR042339
A0A2R9C091,UPAR/Ly6 domain-containing protein,Pan paniscus (Pygmy chimpanzee),147,20,147,,InterPro:IPR042339
A0A2U3WB64,UPAR/Ly6 domain-containing protein,Odobenus rosmarus divergens (Pacific walrus),128,1,128,,InterPro:IPR042339
A0A2U3YR12,UPAR/Ly6 domain-containing protein,Leptonychotes weddellii (Weddell seal),128,1,128,,InterPro:IPR042339
A0A2Y9E5C5,UPAR/Ly6 domain-containing protein,Trichechus manatus latirostris (Florida manatee),124,1,124,,InterPro:IPR042339
A0A2Y9FBS2,UPAR/Ly6 domain-containing protein,Physeter macrocephalus (Sperm whale),128,1,128,,InterPro:IPR042339
A0A2Y9GY70,UPAR/Ly6 domain-containing protein,Neomonachus schauinslandi (Hawaiian monk seal),128,1,128,,InterPro:IPR042339
A0A2Y9JDG9,UPAR/Ly6 domain-containing protein,Enhydra lutris kenyoni (northern sea otter),131,1,124,,InterPro:IPR042339
A0A2Y9LR86,UPAR/Ly6 domain-containing protein,Delphinapterus leucas (Beluga whale),128,1,128,,InterPro:IPR042339
A0A337SJ42,UPAR/Ly6 domain-containing protein,Felis catus (Cat),130,1,130,,InterPro:IPR042339
A0A340XTN5,UPAR/Ly6 domain-containing protein,Lipotes vexillifer (Yangtze river dolphin),128,1,128,,InterPro:IPR042339
A0A341B4E4,UPAR/Ly6 domain-containing protein,Neophocaena asiaeorientalis asiaeorientalis (Yangtze finless porpoise),128,1,128,,InterPro:IPR042339
A0A384CS38,Lymphocyte antigen 6D,Ursus maritimus (Polar bear),128,1,128,,InterPro:IPR042339
A0A3Q7P0G2,UPAR/Ly6 domain-containing protein,Callorhinus ursinus (Northern fur seal),128,1,128,,InterPro:IPR042339
A0A3Q7P9V9,UPAR/Ly6 domain-containing protein,Callorhinus ursinus (Northern fur seal),164,37,164,,InterPro:IPR042339
A0A3Q7R5M7,UPAR/Ly6 domain-containing protein,Vulpes vulpes (Red fox),128,1,128,,InterPro:IPR042339
A0A452CQ16,UPAR/Ly6 domain-containing protein,Balaenoptera acutorostrata scammoni (North Pacific minke whale),194,81,194,,InterPro:IPR042339
A0A452QDK4,UPAR/Ly6 domain-containing protein,Ursus americanus (American black bear),128,1,128,,InterPro:IPR042339
A0A452V3S0,UPAR/Ly6 domain-containing protein,Ursus maritimus (Polar bear),128,1,128,,InterPro:IPR042339
A0A484GQ91,Snake toxin/toxin-like domain-containing protein,Sousa chinensis (Indo-pacific humpbacked dolphin),118,41,118,,InterPro:IPR042339
A0A485MZW4,UPAR/Ly6 domain-containing protein,Lynx pardinus (Iberian lynx),130,1,130,,InterPro:IPR042339
A0A4U1F4W8,UPAR/Ly6 domain-containing protein,Monodon monoceros (Narwhal),158,45,158,,InterPro:IPR042339
A0A4W2C2V3,UPAR/Ly6 domain-containing protein,Bos indicus x Bos taurus (Hybrid cattle),125,1,125,,InterPro:IPR042339
A0A4W2F4W1,UPAR/Ly6 domain-containing protein,Bos indicus x Bos taurus (Hybrid cattle),125,1,125,,InterPro:IPR042339
A0A4X1UTM1,UPAR/Ly6 domain-containing protein,Sus scrofa (Pig),128,1,128,,InterPro:IPR042339
A0A4X2LGR9,UPAR/Ly6 domain-containing protein,Vombatus ursinus (Common wombat),140,36,139,,InterPro:IPR042339
A0A4X2LJP8,UPAR/Ly6 domain-containing protein,Vombatus ursinus (Common wombat),121,1,120,,InterPro:IPR042339
A0A5F4WGV7,Snake toxin/toxin-like domain-containing protein,Callithrix jacchus (White-tufted-ear marmoset),187,1,77,,InterPro:IPR042339
A0A5F7ZL90,UPAR/Ly6 domain-containing protein,Macaca mulatta (Rhesus macaque),157,33,157,,InterPro:IPR042339
A0A5N3WAD4,UPAR/Ly6 domain-containing protein,Muntiacus muntjak (Barking deer),122,1,122,,InterPro:IPR042339
A0A5N3XGA0,UPAR/Ly6 domain-containing protein,Muntiacus reevesi (Reeves' muntjac),128,1,128,,InterPro:IPR042339
A0A5N4CIL7,UPAR/Ly6 domain-containing protein,Camelus dromedarius (Dromedary),127,1,127,,InterPro:IPR042339
A0A643BR53,UPAR/Ly6 domain-containing protein,Balaenoptera physalus (Fin whale),158,45,158,,InterPro:IPR042339
A0A663DE88,UPAR/Ly6 domain-containing protein,Pongo abelii (Sumatran orangutan),128,1,128,,InterPro:IPR042339
A0A667HU90,UPAR/Ly6 domain-containing protein,Lynx canadensis (Canada lynx),129,1,129,,InterPro:IPR042339
A0A671F9U2,UPAR/Ly6 domain-containing protein,Rhinolophus ferrumequinum (Greater horseshoe bat),127,1,127,,InterPro:IPR042339
