protein_id,protein_name,organism,sequence_length,domain_start,domain_end,domain_score,signature_name
A0A061IDA7,Lymphocyte antigen 6H,Cricetulus griseus (Chinese hamster),134,1,134,,InterPro:IPR051445
A0A061IEB5,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),184,2,139,,InterPro:IPR051445
A0A061IGR0,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),139,19,139,,InterPro:IPR051445
A0A087WNZ5,UPAR/Ly6 domain-containing protein,Mus musculus (Mouse),147,2,109,,InterPro:IPR051445
A0A087WPW7,UPAR/Ly6 domain-containing protein,Mus musculus (Mouse),78,2,67,,InterPro:IPR051445
A0A087WQT1,UPAR/Ly6 domain-containing protein,Mus musculus (Mouse),134,2,134,,InterPro:IPR051445
A0A087WRG9,UPAR/Ly6 domain-containing protein,Mus musculus (Mouse),81,2,67,,InterPro:IPR051445
A0A087WRP7,UPAR/Ly6 domain-containing protein,Mus musculus (Mouse),111,2,111,,InterPro:IPR051445
A0A091D3Y7,Lymphocyte antigen 6H,Fukomys damarensis (Damaraland mole rat),141,1,140,,InterPro:IPR051445
A0A096MJ69,Lymphocyte antigen 6H,Rattus norvegicus (Rat),160,20,160,,InterPro:IPR051445
A0A096N8M4,UPAR/Ly6 domain-containing protein,Papio anubis (Olive baboon),138,1,138,,InterPro:IPR051445
A0A0D9R9V5,Lymphocyte antigen 6H,Chlorocebus sabaeus (Green monkey),161,20,161,,InterPro:IPR051445
A0A0D9R9W1,UPAR/Ly6 domain-containing protein,Chlorocebus sabaeus (Green monkey),114,1,114,,InterPro:IPR051445
A0A0G2K4Z4,UPAR/Ly6 domain-containing protein,Rattus norvegicus (Rat),134,2,134,,InterPro:IPR051445
A0A1A6H036,UPAR/Ly6 domain-containing protein,Neotoma lepida (Desert woodrat),72,41,72,,InterPro:IPR051445
A0A1A6HFC6,UPAR/Ly6 domain-containing protein,Neotoma lepida (Desert woodrat),208,132,208,,InterPro:IPR051445
A0A1D5RE30,Lymphocyte antigen 6H,Macaca mulatta (Rhesus macaque),161,20,161,,InterPro:IPR051445
A0A1S3AHG2,Lymphocyte antigen 6H,Erinaceus europaeus (Western European hedgehog),152,17,147,,InterPro:IPR051445
A0A1S3AI44,UPAR/Ly6 domain-containing protein,Erinaceus europaeus (Western European hedgehog),137,1,137,,InterPro:IPR051445
A0A1S3FXP6,UPAR/Ly6 domain-containing protein,Dipodomys ordii (Ord's kangaroo rat),130,3,127,,InterPro:IPR051445
A0A1S3FXR1,UPAR/Ly6 domain-containing protein,Dipodomys ordii (Ord's kangaroo rat),125,12,106,,InterPro:IPR051445
A0A1S3GKE7,Lymphocyte antigen 6H,Dipodomys ordii (Ord's kangaroo rat),150,27,150,,InterPro:IPR051445
A0A1S3WRH6,Lymphocyte antigen 6H,Erinaceus europaeus (Western European hedgehog),134,1,129,,InterPro:IPR051445
A0A1U7R4X9,Lymphocyte antigen 6H,Mesocricetus auratus (Golden hamster),139,1,139,,InterPro:IPR051445
A0A1U7RF99,Lymphocyte antigen 6H,Mesocricetus auratus (Golden hamster),160,21,160,,InterPro:IPR051445
A0A1U7TUE6,Lymphocyte antigen 6H,Carlito syrichta (Philippine tarsier),197,56,197,,InterPro:IPR051445
A0A1U7U0N1,Lymphocyte antigen 6H,Carlito syrichta (Philippine tarsier),161,20,161,,InterPro:IPR051445
A0A1U7UTF9,UPAR/Ly6 domain-containing protein,Carlito syrichta (Philippine tarsier),149,1,149,,InterPro:IPR051445
A0A1U8CPY5,UPAR/Ly6 domain-containing protein,Mesocricetus auratus (Golden hamster),140,1,139,,InterPro:IPR051445
A0A212CDQ0,UPAR/Ly6 domain-containing protein,Cervus elaphus hippelaphus (European red deer),138,3,138,,InterPro:IPR051445
A0A212CE31,Lymphocyte antigen 6H,Cervus elaphus hippelaphus (European red deer),122,4,122,,InterPro:IPR051445
