protein_id,protein_name,organism,sequence_length,domain_start,domain_end,domain_score,signature_name
A0A026X279,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),249,52,130,,InterPro:IPR039457
A0A060VZK8,Ly6/PLAUR domain-containing protein 6,Oncorhynchus mykiss (Rainbow trout),173,5,168,,InterPro:IPR039457
A0A060W1J6,Ly6/PLAUR domain-containing protein 6B,Oncorhynchus mykiss (Rainbow trout),182,7,169,,InterPro:IPR039457
A0A060XL06,Ly6/PLAUR domain-containing protein 6B,Oncorhynchus mykiss (Rainbow trout),176,7,162,,InterPro:IPR039457
A0A087QQ62,Ly6/PLAUR domain-containing protein 6B,Aptenodytes forsteri (Emperor penguin),156,2,155,,InterPro:IPR039457
A0A087QQ63,Ly6/PLAUR domain-containing protein 6,Aptenodytes forsteri (Emperor penguin),137,1,136,,InterPro:IPR039457
A0A087VR10,Ly6/PLAUR domain-containing protein 6,Balearica regulorum gibbericeps (East African grey crowned-crane),137,1,136,,InterPro:IPR039457
A0A087XC65,LY6/PLAUR domain containing 6,Poecilia formosa (Amazon molly),169,5,152,,InterPro:IPR039457
A0A091DUC1,Ly6/PLAUR domain-containing protein 6B,Fukomys damarensis (Damaraland mole rat),169,2,168,,InterPro:IPR039457
A0A091DW53,Ly6/PLAUR domain-containing protein 6,Fukomys damarensis (Damaraland mole rat),131,1,130,,InterPro:IPR039457
A0A091EQI8,Ly6/PLAUR domain-containing protein 6,Corvus brachyrhynchos (American crow),158,1,140,,InterPro:IPR039457
A0A091EV18,Ly6/PLAUR domain-containing protein 6B,Corvus brachyrhynchos (American crow),156,2,155,,InterPro:IPR039457
A0A091FZC5,Ly6/PLAUR domain-containing protein 6B,Cuculus canorus (common cuckoo),156,2,155,,InterPro:IPR039457
A0A091G352,Ly6/PLAUR domain-containing protein 6,Cuculus canorus (common cuckoo),137,1,136,,InterPro:IPR039457
A0A091H952,Ly6/PLAUR domain-containing protein 6,Buceros rhinoceros silvestris,136,1,135,,InterPro:IPR039457
A0A091HM89,Ly6/PLAUR domain-containing protein 6B,Buceros rhinoceros silvestris,156,2,155,,InterPro:IPR039457
A0A091IKK5,Ly6/PLAUR domain-containing protein 6B,Calypte anna (Anna's hummingbird),156,3,155,,InterPro:IPR039457
A0A091IL04,Ly6/PLAUR domain-containing protein 6,Calypte anna (Anna's hummingbird),142,1,140,,InterPro:IPR039457
A0A091JGN3,Ly6/PLAUR domain-containing protein 6B,Egretta garzetta (Little egret),156,2,155,,InterPro:IPR039457
A0A091JIJ7,Ly6/PLAUR domain-containing protein 6,Egretta garzetta (Little egret),141,1,140,,InterPro:IPR039457
A0A091K709,Ly6/PLAUR domain-containing protein 6,Colius striatus (Speckled mousebird),111,3,110,,InterPro:IPR039457
A0A091K8M8,Ly6/PLAUR domain-containing protein 6B,Colius striatus (Speckled mousebird),156,2,154,,InterPro:IPR039457
A0A091KFA4,Ly6/PLAUR domain-containing protein 6B,Chlamydotis macqueenii (Macqueen's bustard),156,2,155,,InterPro:IPR039457
A0A091KQ73,Ly6/PLAUR domain-containing protein 6,Chlamydotis macqueenii (Macqueen's bustard),137,1,136,,InterPro:IPR039457
A0A091L7I6,Ly6/PLAUR domain-containing protein 6,Cathartes aura (Turkey vulture),131,3,130,,InterPro:IPR039457
A0A091LHS5,Ly6/PLAUR domain-containing protein 6B,Cathartes aura (Turkey vulture),156,3,155,,InterPro:IPR039457
A0A091LQE6,Ly6/PLAUR domain-containing protein 6,Cariama cristata (Red-legged seriema),137,1,136,,InterPro:IPR039457
A0A091N0S4,Ly6/PLAUR domain-containing protein 6B,Acanthisitta chloris (rifleman),127,1,125,,InterPro:IPR039457
A0A091N5K8,Ly6/PLAUR domain-containing protein 6B,Apaloderma vittatum (Bar-tailed trogon),156,2,155,,InterPro:IPR039457
A0A091N7Z8,Ly6/PLAUR domain-containing protein 6,Acanthisitta chloris (rifleman),126,3,125,,InterPro:IPR039457
A0A091NWV1,Ly6/PLAUR domain-containing protein 6,Apaloderma vittatum (Bar-tailed trogon),143,2,141,,InterPro:IPR039457
A0A091PF38,Ly6/PLAUR domain-containing protein 6,Leptosomus discolor (Madagascar cuckoo roller),137,1,136,,InterPro:IPR039457
A0A091PG17,Ly6/PLAUR domain-containing protein 6,Haliaeetus albicilla (White-tailed sea-eagle),119,1,118,,InterPro:IPR039457
A0A091PJB1,LPD6B protein,Haliaeetus albicilla (White-tailed sea-eagle),156,2,155,,InterPro:IPR039457
A0A091PNH8,Ly6/PLAUR domain-containing protein 6B,Leptosomus discolor (Madagascar cuckoo roller),154,3,153,,InterPro:IPR039457
A0A091QSB4,Ly6/PLAUR domain-containing protein 6B,Merops nubicus (Northern carmine bee-eater),154,2,152,,InterPro:IPR039457
A0A091S3Q3,Ly6/PLAUR domain-containing protein 6B,Nestor notabilis (Kea),154,2,153,,InterPro:IPR039457
