identifier,group
A0A267FLT7_IPR045860_1_40-116,none
A0A3B5M3Y7_IPR045860_1_54-113,mixture
A0A3M0KDK7_IPR045860_1_1076-1149,none
A0A8R1I3M6_IPR045860_1_23-72,mixture
A0A974HZ79_IPR045860_1_25-111,none
A0A8T1S5D0_IPR026524_1_5-155,none
G3IJA7_IPR039457_1_2-85,mixture
A0A1D1VU07_IPR031424_1_29-119,mixture
A0A1S3KC57_IPR031424_1_20-112,none
A0A6A4II55_IPR031424_1_22-134,none
A0A6L2PLK9_IPR031424_1_31-84,none
A0A8J5UUP8_IPR031424_1_24-113,none
A0A9P1HMJ8_IPR031424_1_22-124,mixture
A0AAE9DKX9_IPR031424_1_24-108,mixture
A0AAV2Q359_IPR031424_1_4-107,mixture
N6U7S0_IPR031424_1_20-121,mixture
A0A0E3KK09_IPR045860_1_18-72,none
A0AAV6ZHU2_IPR045860_2_1-71,Ly6
A0A2G8LPQ2_IPR039457_1_28-79,Ly6
A0A814JAT2_IPR039457_1_21-152,mixture
A0A0C9R4W4_IPR045860_1_44-107,none
A0A182UDP1_IPR031424_1_44-102,none
A0A1W0WDQ5_IPR031424_1_33-112,mixture
A0AAD5N1P7_IPR031424_1_105-184,mixture
A0AAD8AAY3_IPR045860_1_21-109,mixture
A0A0B2V963_IPR045860_1_20-161,none
A0A0D6LIU7_IPR045860_1_14-89,none
A0A0E3N0J1_IPR045860_2_115-164,none
A0A0N4XU23_IPR045860_1_25-89,none
A0A0N5CIB9_IPR045860_1_21-101,mixture
A0A8K0DCZ5_IPR031424_1_22-127,mixture
A0A8S1DL92_IPR031424_1_27-148,none
A0A9P0CUQ1_IPR031424_1_6-72,none
A0A9X6RMU7_IPR045860_1_25-110,Quiver
A0A1D1UYT9_IPR045860_1_21-129,none
A0A2A6B6L1_IPR045860_1_100-180,none
A0A2J7QX46_IPR045860_1_41-138,none
A0A4U5M493_IPR045860_1_38-124,Ly6
A0A665TET0_IPR045860_1_28-104,none
A0A671NB32_IPR045860_1_16-104,none
A0A673LHZ0_IPR045860_1_21-85,mixture
A0A673M2A3_IPR045860_1_29-111,none
A0A6V7LM87_IPR045860_1_10-69,none
A0A814TN66_IPR045860_1_28-106,none
A0A8C4N7W8_IPR045860_1_1-66,none
A0A8C9JH24_IPR045860_1_16-78,none
A0A8I3NIA7_IPR045860_1_56-108,none
A0A8I6TGV3_IPR045860_1_38-140,none
A0A8T0FTV2_IPR045860_1_20-120,none
K1RXF0_IPR045860_1_16-71,none
Q9UAG0_IPR045860_1_135-224,none
Centipede3FTx_0020_1255758,manually_annotated
Centipede3FTx_0116_1255758,manually_annotated
A0A835NMH4_IPR045860_2_101-189,mixture
A0A8B6DF61_IPR045860_1_105-184,mixture
A0A672HY65_IPR045860_1_120-170,Ly6
A0A803K3X8_IPR045860_4_114-171,mixture
A0A8J5ZVT7_IPR045860_2_269-362,mixture
A0A914F127_IPR045860_1_16-108,mixture
A0A974CHI4_IPR045860_2_6-89,Ly6
A0AA35KMQ0_IPR045860_2_112-193,Ly6
A0AA35LGT7_IPR045860_3_210-288,Ly6
A0AAD1WMY1_IPR016054_1_27-122,mostly_Ly6
A0AAW0MGA1_IPR045860_1_22-90,Ly6
A0AAW1AX84_IPR045860_3_2-64,Ly6
C3YU70_IPR016054_2_188-286,mixture
A0A4D9DMT8_IPR026524_1_6-213,none
A0A3S1A7L4_IPR045860_1_37-138,none
A0A4S2M8K0_IPR045860_1_123-197,none
A0A4U5NHD1_IPR045860_1_2-61,Ly6
A0A8C9F626_IPR045860_1_38-116,none
A0A8D8NQH8_IPR045860_1_2-93,none
A0A8S3DI61_IPR045860_1_18-78,none
A0A8S4PCU4_IPR045860_1_21-110,mixture
A0A915BK86_IPR045860_1_23-119,none
A0A9X0A6E7_IPR045860_1_115-197,mixture
A0AA36DG82_IPR045860_1_71-136,none
A0AAD8EEK7_IPR045860_1_3-61,none
A0AAD9JZG4_IPR045860_1_52-152,none
A0AAF3EK38_IPR045860_2_454-508,none
A0AAN8WWG0_IPR045860_1_52-159,none
A0AAU9XBH8_IPR045860_1_26-98,mixture
A0AAV2RAV7_IPR045860_1_21-125,Ly6
A0AAV4HYB8_IPR045860_1_806-874,none
A0AAW0MKZ9_IPR045860_1_6-86,Ly6
A0AAW1UIJ1_IPR045860_1_22-124,mixture
A7RR40_IPR045860_1_16-114,none
Centipede3FTx_0018_1255758,manually_annotated
Centipede3FTx_0082_61981,manually_annotated
Centipede3FTx_0114_984703,manually_annotated
A0A7J8GR77_IPR039237_1_28-103,none
A0ABD2PTL5_IPR045860_1_26-129,none
A0ABD3XW80_IPR031424_1_25-99,mixture
A0A0E9SDH0_IPR045860_1_25-101,none
A0A183IHQ7_IPR045860_1_10-85,mixture
A0A498P1F1_IPR045860_1_142-201,none
A0A4U5M496_IPR045860_2_11-97,none
A0A7M5XIW4_IPR045860_1_18-108,mixture
A0A813MG68_IPR045860_1_9-84,none
A0A813SLY4_IPR045860_1_23-93,mixture
A0A8B8VNU3_IPR045860_1_12-92,Ly6
A0A8J6HG74_IPR045860_1_18-111,none
A0A8S1DBV9_IPR045860_1_45-144,none
A0A914TAE8_IPR045860_1_21-103,none
A0A915PPZ6_IPR045860_1_17-66,mixture
A0A9Q0S813_IPR045860_1_22-90,none
A0A9W9Z870_IPR045860_1_1-69,none
A0AAF3EMZ2_IPR045860_1_27-97,none
A0AAJ7RD29_IPR045860_1_25-99,none
A0AAN5IB82_IPR045860_1_68-152,none
A0ABD0LAW8_IPR045860_1_65-122,none
E4YHX6_IPR045860_1_49-128,Ly6
Q9UAG2_IPR045860_1_225-308,none
A0A093PEP6_IPR045860_1_1-52,none
A0A814EPP6_IPR045860_1_21-86,mixture
A0A061HV01_IPR016054_1_88-181,Ly6
A0A0B5GR50_IPR045860_2_18-105,mixture
A0A452FY47_IPR045860_1_120-182,Ly6
A0A668TLB4_IPR045860_1_109-188,Ly6
A0A6P7MES0_IPR045860_1_113-221,mixture
A0A8C2ME16_IPR045860_2_46-100,none
A0A8D2E104_IPR045860_3_191-240,none
A0A8W8KDT8_IPR016054_1_125-182,none
A0A9F2WG88_IPR045860_2_22-118,Ly6
A0AA35KP80_IPR045860_2_111-170,Ly6
A0AAW1EXL6_IPR045860_1_3-71,Ly6
A0A834UG43_IPR039457_1_93-163,mixture
A0A8J9VF79_IPR039457_1_30-89,none
A0A1I7SHS9_IPR031424_1_20-102,mixture
A0A430Q2G9_IPR031424_1_19-82,Quiver
A0AAJ7ITS2_IPR031424_1_24-150,mixture
A0AAW1NBZ3_IPR031424_1_20-132,none
A0ABD2QAB0_IPR031424_1_71-210,mixture
V5GYU3_IPR031424_1_27-92,none
A0A016WST8_IPR045860_1_76-178,none
A0A182DZD6_IPR045860_1_27-76,none
A0A1I7RK48_IPR045860_1_8-67,none
A0A210Q2J1_IPR045860_2_124-206,mixture
A0A2A6B8C4_IPR045860_1_55-114,mixture
A0A2G9R7K9_IPR045860_1_1-84,Ly6
A0A3B4B5Q2_IPR045860_1_9-87,none
A0A3Q2UYB1_IPR045860_1_33-87,mixture
A0A4W3J9B0_IPR045860_1_29-103,none
A0A6G0HK90_IPR045860_1_45-107,none
A0A6P9DRR7_IPR045860_1_17-89,mixture
A0A6V7TRM7_IPR045860_1_1-58,none
A0A814M5W0_IPR045860_1_17-119,none
A0A898IKW1_IPR045860_1_12-74,mixture
A0A915BQP4_IPR045860_1_20-113,none
A0AA36C6F4_IPR045860_1_61-137,none
A0AA36M549_IPR045860_1_23-83,none
A0AAD9QQA3_IPR045860_1_22-102,none
A0AAN9Z0K7_IPR045860_1_23-109,none
A0AAW0MVP7_IPR045860_1_186-239,Ly6
A0AAX6SC57_IPR045860_1_44-100,Ly6
T2MGF9_IPR045860_1_24-129,none
Centipede3FTx_0119_1255758,manually_annotated
A0A6B0S6F5_IPR016054_1_24-99,none
A0A504YEI6_IPR045860_1_9-67,none
A0A5N4CGH2_IPR045860_1_28-90,none
A0A9D4MDK6_IPR045860_1_34-113,mixture
A0A151NAK5_IPR016054_1_142-200,Ly6
A0A8C3P577_IPR016054_1_21-108,Ly6
A0AA35KMR6_IPR016054_1_148-214,Ly6
A0AAV7PX70_IPR045860_2_203-292,Ly6
G3UDR6_IPR051445_1_7-126,mixture
Centipede3FTx_0002_61981,mixture
Centipede3FTx_0034_61981,manually_annotated
Centipede3FTx_0130_1255758,manually_annotated
A0A2G5UGY6_IPR045860_1_11-84,none
A0A452QH48_IPR045860_1_18-78,mixture
A0A643BR30_IPR045860_1_4-67,none
A0A6I8RYL8_IPR045860_1_14-87,mixture
A0A8C2RF78_IPR035076_1_32-90,none
A0A8C3JMR5_IPR045860_1_1-66,none
A0AAN5DDC6_IPR045860_1_29-96,mixture
G3V0Z9_IPR045860_1_12-75,none
A0A096LTF5_IPR016054_2_112-188,mixture
A0A0F7JHR5_IPR045860_2_115-198,mixture
A0A0H4AC90_IPR045860_1_1-84,mostly_Ly6
A0A4D9DJB4_IPR045860_4_567-619,Ly6
A0A6I8PU52_IPR016054_2_217-299,Ly6
A0A7J8C8R7_IPR016054_1_22-94,Ly6
A0A8D0UEP2_IPR026524_1_10-132,mixture
M7B2W8_IPR045860_1_103-155,mixture
A0A8C3SCR7_IPR026524_1_6-286,none
A0A1A8RH00_IPR039457_1_5-88,mixture
A0A1D1VG99_IPR031424_1_70-203,mixture
A0A1D2NLW9_IPR031424_1_23-153,Quiver
A0A226EVU9_IPR031424_1_54-155,none
A0A6J1WMJ4_IPR031424_1_24-133,mixture
A0A0C2MH32_IPR045860_1_1-73,none
A0A1D2MG66_IPR045860_1_25-115,none
A0A1I7Y769_IPR045860_1_19-117,none
A0A1I8IX46_IPR045860_1_319-392,none
A0A4S2MLE7_IPR045860_1_36-111,none
A0A4U5NI55_IPR045860_1_19-94,mixture
A0A7M5VEA9_IPR045860_1_33-105,none
A0A7S3G3U3_IPR045860_1_2-54,none
A0A834A2I1_IPR045860_1_24-95,none
A0A8B6GU07_IPR045860_1_11-102,mixture
A0A8C5QXT3_IPR045860_1_53-106,mixture
A0A8J5JX50_IPR045860_1_71-166,mixture
A0A8K0F306_IPR045860_1_23-130,Ly6
A0A8S3ZH90_IPR045860_1_1-79,none
A0A914USH5_IPR045860_1_15-100,none
A0A915DFY2_IPR045860_1_15-80,mixture
