identifier,protein_display_name,functional_group,is_transmembrane,is_helix,is_beta,has_signal,pfam,primary_interpro_id,primary_interpro_short_name,phylum,order,family,genus,species,organism_id
A0S864,Irditoxin subunit A (IrTxA),Plesiotypic,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Colubridae,Boiga,Boiga irregularis,92519.0
A0S865,Irditoxin subunit B (IrTxB),Plesiotypic,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Colubridae,Boiga,Boiga irregularis,92519.0
B3EWF8,Mipartoxin-1 (Mipartoxin-I) (Three-finger toxin) (3FTx),Short-chain,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Micrurus,Micrurus mipartitus,430902.0
B5A5T4,UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,7227.0
C0HJD3,Fulgimotoxin (FTx),Plesiotypic,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Colubridae,Oxybelis,Oxybelis fulgidus,121355.0
D3ZTT2,Ly6/PLAUR domain-containing protein 6,,False,False,False,True,PF16975;,IPR039457,LYPD6-like,Chordata,Rodentia,Muridae,Rattus,Rattus norvegicus,10116.0
O43653,Prostate stem cell antigen,Ly6,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
O55186,CD59A glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59),,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
O95867,Lymphocyte antigen 6 complex locus protein G6c,,False,False,False,True,PF00021;,IPR039237,LY6G6C,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
O95868,Lymphocyte antigen 6 complex locus protein G6d (Protein Ly6-D) (Megakaryocyte-enhanced gene transcript 1 protein),,False,False,False,True,PF00021;,IPR026524,LY6G6d/LY6G6f,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
