protein_id,protein_name,organism,sequence_length,tax_id,interpro_1,interpro_2,interpro_3,interpro_4
A0A016RUD2,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,102,53326.0,IPR045860,,,
A0A016SEB0,UPAR/Ly6 domain-containing protein qvr,Ancylostoma ceylanicum,160,53326.0,IPR031424,,,
A0A016SHP2,Protein quiver,Ancylostoma ceylanicum,171,53326.0,IPR031424,,,
A0A016SK76,UPAR/Ly6 domain-containing protein,Ancylostoma ceylanicum,685,53326.0,IPR045860,,,
A0A016SKC5,Mos1 transposase HTH domain-containing protein,Ancylostoma ceylanicum,755,53326.0,IPR045860,,,
A0A016SLQ6,Reverse transcriptase domain-containing protein,Ancylostoma ceylanicum,615,53326.0,IPR045860,,,
A0A016SLR2,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,122,53326.0,IPR045860,,,
A0A016SMQ3,Reverse transcriptase domain-containing protein,Ancylostoma ceylanicum,624,53326.0,IPR045860,,,
A0A016SMQ7,Uncharacterized protein,Ancylostoma ceylanicum,119,53326.0,IPR045860,,,
A0A016SMU4,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,166,53326.0,IPR045860,,,
A0A016SN68,Uncharacterized protein,Ancylostoma ceylanicum,110,53326.0,IPR045860,,,
A0A016SNB4,Protein sleepless,Ancylostoma ceylanicum,172,53326.0,IPR031424,,,
A0A016SVD9,ET module,Ancylostoma ceylanicum,110,53326.0,IPR045860,,,
A0A016SW78,ET module,Ancylostoma ceylanicum,109,53326.0,IPR045860,,,
A0A016SWF9,ET module,Ancylostoma ceylanicum,151,53326.0,IPR045860,,,
A0A016SWM5,ET module,Ancylostoma ceylanicum,118,53326.0,IPR045860,,,
A0A016SY42,Uncharacterized protein,Ancylostoma ceylanicum,92,53326.0,IPR031424,,,
A0A016SYY1,Uncharacterized protein,Ancylostoma ceylanicum,144,53326.0,IPR031424,,,
A0A016SZ28,Protein quiver,Ancylostoma ceylanicum,130,53326.0,IPR031424,,,
A0A016TC47,Protein quiver,Ancylostoma ceylanicum,109,53326.0,IPR031424,,,
A0A016TCX3,Protein sleepless,Ancylostoma ceylanicum,123,53326.0,IPR031424,,,
A0A016TCX6,Protein sleepless,Ancylostoma ceylanicum,140,53326.0,IPR031424,,,
A0A016TD22,Protein quiver,Ancylostoma ceylanicum,107,53326.0,IPR031424,,,
A0A016TD31,Protein quiver,Ancylostoma ceylanicum,124,53326.0,IPR031424,,,
A0A016TGQ5,receptor protein serine/threonine kinase,Ancylostoma ceylanicum,650,53326.0,IPR045860,,,
A0A016TGX9,receptor protein serine/threonine kinase,Ancylostoma ceylanicum,642,53326.0,IPR045860,,,
A0A016TNF3,ET module,Ancylostoma ceylanicum,115,53326.0,IPR045860,,,
A0A016TNI9,ET module,Ancylostoma ceylanicum,119,53326.0,IPR045860,,,
A0A016TXR3,Uncharacterized protein,Ancylostoma ceylanicum,70,53326.0,IPR045860,,,
A0A016U0E0,Uncharacterized protein,Ancylostoma ceylanicum,152,53326.0,IPR045860,,,
A0A016U4I8,Uncharacterized protein,Ancylostoma ceylanicum,230,53326.0,IPR045860,,,
A0A016U546,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,162,53326.0,IPR045860,,,
A0A016U556,Uncharacterized protein,Ancylostoma ceylanicum,225,53326.0,IPR045860,,,
A0A016U759,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,169,53326.0,IPR045860,,,
A0A016U7J7,Phlebovirus glycoprotein G2 fusion domain-containing protein,Ancylostoma ceylanicum,114,53326.0,IPR045860,,,
A0A016U894,Uncharacterized protein,Ancylostoma ceylanicum,145,53326.0,IPR045860,,,
A0A016U8G8,Uncharacterized protein,Ancylostoma ceylanicum,142,53326.0,IPR045860,,,
A0A016U9G5,Protein quiver,Ancylostoma ceylanicum,210,53326.0,IPR031424,IPR045860,,
A0A016UBH5,UPAR/Ly6 domain-containing protein,Ancylostoma ceylanicum,199,53326.0,IPR031424,IPR045860,,
A0A016UEU9,Protein sleepless,Ancylostoma ceylanicum,126,53326.0,IPR031424,IPR045860,,
A0A016UUB7,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,173,53326.0,IPR045860,,,
A0A016UX52,Protein sleepless,Ancylostoma ceylanicum,230,53326.0,IPR031424,IPR045860,,
A0A016UXJ8,Uncharacterized protein,Ancylostoma ceylanicum,102,53326.0,IPR045860,,,
A0A016UXU2,Protein sleepless,Ancylostoma ceylanicum,251,53326.0,IPR031424,IPR045860,,
A0A016UYB4,Protein sleepless,Ancylostoma ceylanicum,187,53326.0,IPR031424,IPR045860,,
A0A016UYZ5,Protein sleepless,Ancylostoma ceylanicum,166,53326.0,IPR031424,IPR045860,,
A0A016UZW4,Protein sleepless,Ancylostoma ceylanicum,235,53326.0,IPR031424,IPR045860,,
A0A016V435,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,107,53326.0,IPR045860,,,
A0A016V9T3,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,469,53326.0,IPR045860,,,
A0A016VWX9,receptor protein serine/threonine kinase,Ancylostoma ceylanicum,559,53326.0,IPR045860,,,
A0A016W8A0,Serine/threonine-protein kinase receptor,Ancylostoma ceylanicum,638,53326.0,IPR045860,,,
A0A016W915,ET module,Ancylostoma ceylanicum,119,53326.0,IPR045860,,,
A0A016W9E7,Snake toxin/toxin-like domain-containing protein,Ancylostoma ceylanicum,218,53326.0,IPR045860,,,
A0A016W9N8,ET module,Ancylostoma ceylanicum,131,53326.0,IPR045860,,,
A0A016W9Q7,ET module,Ancylostoma ceylanicum,112,53326.0,IPR045860,,,
A0A016WPH0,Uncharacterized protein,Ancylostoma ceylanicum,113,53326.0,IPR045860,,,
A0A016WQJ9,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,144,53326.0,IPR045860,,,
A0A016WQZ7,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,137,53326.0,IPR045860,,,
A0A016WR52,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,125,53326.0,IPR045860,,,
A0A016WS27,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,172,53326.0,IPR045860,,,
A0A016WST8,Activin types I and II receptor domain-containing protein,Ancylostoma ceylanicum,225,53326.0,IPR045860,,,
A0A016WU80,Uncharacterized protein,Ancylostoma ceylanicum,142,53326.0,IPR045860,,,
A0A023EDS6,Putative retroactive,Aedes albopictus (Asian tiger mosquito),134,,IPR031424,,,
A0A023EFB9,Putative secreted protein,Aedes albopictus (Asian tiger mosquito),151,,IPR031424,,,
A0A023EFE3,Uncharacterized protein,Aedes albopictus (Asian tiger mosquito),123,,IPR031424,,,
A0A023EFJ7,Putative secreted protein,Aedes albopictus (Asian tiger mosquito),151,,IPR031424,,,
