protein_id,protein_name,tax_id,scientific_name,sequence_length,domain_start,domain_end,signature_name,interpro_domain_name
A0A8C6DNS2,Snake toxin/toxin-like domain-containing protein,68415,Moschus moschiferus,141,39,116,IPR035076,Snake toxin/toxin-like
A0A8C6DNS2,Snake toxin/toxin-like domain-containing protein,68415,Moschus moschiferus,141,32,118,IPR045860,Snake toxin-like superfamily
A0A8C6DNS2,Snake toxin/toxin-like domain-containing protein,68415,Moschus moschiferus,141,21,133,IPR051110,Ly-6/neurotoxin-like and GPI-anchored
Q0GB18,Plethodontid modulating factor,263671,Plethodon shermani,82,20,82,IPR045860,Snake toxin-like superfamily
K7FHR4,UPAR/Ly6 domain-containing protein,13735,Pelodiscus sinensis,127,21,112,IPR016054,Ly-6 antigen/uPA receptor-like
K7FHR4,UPAR/Ly6 domain-containing protein,13735,Pelodiscus sinensis,127,22,71,IPR018363,"CD59 antigen, conserved site"
K7FHR4,UPAR/Ly6 domain-containing protein,13735,Pelodiscus sinensis,127,21,98,IPR035076,Snake toxin/toxin-like
K7FHR4,UPAR/Ly6 domain-containing protein,13735,Pelodiscus sinensis,127,14,100,IPR045860,Snake toxin-like superfamily
K7FHR4,UPAR/Ly6 domain-containing protein,13735,Pelodiscus sinensis,127,1,122,IPR051110,Ly-6/neurotoxin-like and GPI-anchored
A0A8C6R330,UPAR/Ly6 domain-containing protein,1026970,Nannospalax galili,121,22,98,IPR016054,Ly-6 antigen/uPA receptor-like
A0A8C6R330,UPAR/Ly6 domain-containing protein,1026970,Nannospalax galili,121,19,101,IPR045860,Snake toxin-like superfamily
A0A8C6R330,UPAR/Ly6 domain-containing protein,1026970,Nannospalax galili,121,1,119,IPR046354,Sperm acrosome membrane-associated protein 4/Protein Bouncer
A0AAD9VIZ8,Protein sleepless,1348599,Odynerus spinipes,141,26,117,IPR031424,UPAR/Ly6 domain-containing protein Quiver-like
A0AAD9VIZ8,Protein sleepless,1348599,Odynerus spinipes,141,4,139,IPR050975,Sleep homeostasis regulator
A0AAN9GZK7,UPAR/Ly6 domain-containing protein,58324,Phoxinus phoxinus,130,21,104,IPR016054,Ly-6 antigen/uPA receptor-like
A0AAN9GZK7,UPAR/Ly6 domain-containing protein,58324,Phoxinus phoxinus,130,21,110,IPR045860,Snake toxin-like superfamily
A8HDJ5,Short neurotoxin 1,100989,Tropidechis carinatus,81,22,80,IPR003571,Snake three-finger toxin
A8HDJ5,Short neurotoxin 1,100989,Tropidechis carinatus,81,59,77,IPR018354,"Snake toxin, conserved site"
A8HDJ5,Short neurotoxin 1,100989,Tropidechis carinatus,81,22,81,IPR045860,Snake toxin-like superfamily
A8HDJ5,Short neurotoxin 1,100989,Tropidechis carinatus,81,23,80,IPR054131,Snake toxin cobra-type
Q5DFN3,Protein sleepless,6182,Schistosoma japonicum,148,26,119,IPR031424,UPAR/Ly6 domain-containing protein Quiver-like
Q5DFN3,Protein sleepless,6182,Schistosoma japonicum,148,24,120,IPR045860,Snake toxin-like superfamily
Q5DFN3,Protein sleepless,6182,Schistosoma japonicum,148,1,142,IPR050975,Sleep homeostasis regulator
A0AAV1HFS4,UPAR/Ly6 domain-containing protein,13765,Xyrichtys novacula,127,19,102,IPR016054,Ly-6 antigen/uPA receptor-like
A0AAV1HFS4,UPAR/Ly6 domain-containing protein,13765,Xyrichtys novacula,127,18,107,IPR045860,Snake toxin-like superfamily
Q9UAD1,Leukocyte membrane protein 1,7765,Eptatretus stoutii,120,26,101,IPR045860,Snake toxin-like superfamily
Q9UAD1,Leukocyte membrane protein 1,7765,Eptatretus stoutii,120,9,104,IPR056949,CD59 glycoprotein
