query	target	fident	alnlen	nident	mismatch	gapopen	qstart	qend	tstart	tend	qcov	tcov	evalue	bits
P25682	P25682	1.000	63	63	0	0	1	63	1	63	1.000	1.000	6.160E-45	151
P25682	C0HKZ8	0.645	62	40	22	0	1	62	1	62	0.984	0.984	1.351E-27	102
P25682	P81782	0.677	62	42	20	0	1	62	1	62	0.984	0.984	1.856E-27	101
P25682	U3FVH6	0.629	62	39	23	0	1	62	22	83	0.984	0.738	1.711E-26	98
P25682	F5CPD4	0.580	62	36	26	0	1	62	22	83	0.984	0.738	9.778E-24	91
P25682	C0HJT4	0.516	62	32	30	0	1	62	1	62	0.984	0.984	2.353E-18	75
P25682	A0A813Q1J8	0.430	72	31	29	3	1	62	20	89	0.984	0.609	7.412E-12	57
P25682	A0A814N968	0.416	72	30	30	3	1	62	20	89	0.984	0.609	1.929E-11	55
P25682	A0AAW1BKT6	0.384	65	25	31	3	1	62	22	80	0.984	0.738	5.646E-08	46
P25682	A0A813MQH7	0.338	71	24	38	3	1	62	10	80	0.984	0.657	2.793E-07	44
P25682	A0A8T2NA12	0.406	64	26	31	4	1	63	21	78	1.000	0.744	5.296E-07	43
P25682	A0A8T3DAX1	0.406	64	26	31	4	1	63	21	78	1.000	0.744	5.296E-07	43
P25682	A0A091D983	0.351	74	26	37	3	1	63	21	94	1.000	0.602	5.296E-07	43
P25682	A0A9J6BKZ2	0.404	42	17	23	1	21	62	46	85	0.667	0.360	1.004E-06	42
P25682	A0A9P0TWQ4	0.306	75	23	37	3	1	62	20	92	0.984	0.640	1.004E-06	42
P25682	A0AAV1IVH5	0.306	75	23	37	3	1	62	21	93	0.984	0.635	1.004E-06	42
P25682	A0A813XHA2	0.391	69	27	35	3	1	62	23	91	0.984	0.595	1.004E-06	42
P25682	A0A7E5VLN2	0.293	75	22	38	3	1	62	22	94	0.984	0.619	1.383E-06	42
P25682	A0A0C9QJG6	0.324	77	25	34	4	1	62	30	103	0.984	0.578	1.383E-06	42
P25682	A0AAW1BM52	0.338	65	22	39	2	1	62	22	85	0.984	0.753	1.905E-06	41
P25682	A0A2W1BJ97	0.293	75	22	38	3	1	62	23	95	0.984	0.619	1.905E-06	41
P25682	A0A4S2KKA9	0.306	75	23	37	3	1	62	26	98	0.984	0.570	1.905E-06	41
P25682	A0A3M7S2J2	0.380	50	19	28	1	16	62	90	139	0.746	0.338	1.905E-06	41
P25682	A0A6J1P185	0.293	75	22	38	3	1	62	23	95	0.984	0.619	2.623E-06	41
P25682	A0A6P3WZG7	0.293	75	22	38	3	1	62	26	98	0.984	0.570	2.623E-06	41
P25682	A0AAW1BN42	0.359	64	23	37	2	1	62	22	83	0.984	0.747	3.613E-06	40
P25682	A0A6J0V3N9	0.371	70	26	36	5	1	62	21	90	0.984	0.625	3.613E-06	40
P25682	A0A6J2K9M7	0.369	46	17	27	1	17	62	50	93	0.730	0.376	3.613E-06	40
P25682	A0AAD8DRB8	0.280	75	21	39	3	1	62	23	95	0.984	0.613	3.613E-06	40
P25682	Q9VHF9	0.352	51	18	31	1	12	62	98	146	0.810	0.275	3.613E-06	40
P25682	Q7K326	0.352	51	18	31	1	12	62	100	148	0.810	0.272	3.613E-06	40
P25682	A0A6P7X0R9	0.346	78	27	31	4	1	62	21	94	0.984	0.698	4.977E-06	40
P25682	A0A9N9WRS2	0.300	80	24	36	3	1	62	25	102	0.984	0.619	4.977E-06	40
P25682	A0AAJ7BZ05	0.311	77	24	35	4	1	62	30	103	0.984	0.565	4.977E-06	40
P25682	A0A8S0YTU5	0.280	75	21	39	3	1	62	23	95	0.984	0.613	6.856E-06	40
P25682	A0A8S0Z4Y0	0.280	75	21	39	3	1	62	46	118	0.984	0.514	6.856E-06	40
P25682	B4LW03	0.352	51	18	31	1	12	62	78	126	0.810	0.333	6.856E-06	40
P25682	B4QX78	0.352	51	18	31	1	12	62	98	146	0.810	0.275	6.856E-06	40
P25682	A0A6P8KDB5	0.352	51	18	31	1	12	62	100	148	0.810	0.272	6.856E-06	40
P25682	B4PUL5	0.352	51	18	31	1	12	62	102	150	0.810	0.269	6.856E-06	40
P25682	B3P1R7	0.352	51	18	31	1	12	62	104	152	0.810	0.266	6.856E-06	40
P25682	A7X3M9	0.353	65	23	38	2	1	62	19	82	0.984	0.753	9.444E-06	39
P25682	A0A3L8DQP3	0.293	75	22	38	3	1	62	26	98	0.984	0.570	9.444E-06	39
P25682	A0A6P4EV46	0.352	51	18	31	1	12	62	96	144	0.810	0.278	9.444E-06	39
P25682	A0AB39Z122	0.352	51	18	31	1	12	62	104	152	0.810	0.266	9.444E-06	39
P25682	A2CKF6	0.353	65	23	38	2	1	62	22	85	0.984	0.744	1.301E-05	39
P25682	A0A0N1IP20	0.280	75	21	39	3	1	62	21	93	0.984	0.624	1.301E-05	39
P25682	A0A8B8IQN6	0.280	75	21	39	3	1	62	23	95	0.984	0.624	1.301E-05	39
P25682	A0AAJ7E6Z9	0.280	75	21	39	3	1	62	21	93	0.984	0.624	1.301E-05	39
P25682	A0AAV1LIZ4	0.280	75	21	39	3	1	62	22	94	0.984	0.619	1.301E-05	39
P25682	A0A8J2W4G0	0.280	75	21	39	3	1	62	22	94	0.984	0.613	1.301E-05	39
P25682	A0A212F9C5	0.280	75	21	39	3	1	62	22	94	0.984	0.613	1.301E-05	39
P25682	A0A834XTL3	0.324	77	25	34	4	1	62	31	104	0.984	0.561	1.301E-05	39
P25682	A0A6J1R355	0.293	75	22	38	3	1	62	70	142	0.984	0.424	1.301E-05	39
P25682	A0A6P8ZER6	0.404	42	17	23	1	21	62	117	156	0.667	0.219	1.301E-05	39
P25682	B4GNS3	0.333	51	17	32	1	12	62	110	158	0.810	0.259	1.301E-05	39
P25682	U3FYQ6	0.625	24	15	8	1	1	24	22	44	0.381	0.274	1.792E-05	38
P25682	U3FAD8	0.625	24	15	8	1	1	24	22	44	0.381	0.274	1.792E-05	38
P25682	A0AAD4U8Z1	0.291	79	23	40	3	1	63	9	87	1.000	0.693	1.792E-05	38
P25682	A0A8C0MX46	0.356	73	26	36	3	1	62	12	84	0.984	0.635	1.792E-05	38
P25682	A0A7M7HM99	0.320	75	24	36	3	1	62	19	91	0.984	0.629	1.792E-05	38
P25682	A0A8C0L1I4	0.356	73	26	36	3	1	62	21	93	0.984	0.589	1.792E-05	38
P25682	A0A8J1L3U4	0.333	75	25	38	3	1	63	21	95	1.000	0.605	1.792E-05	38
P25682	A0A452EM85	0.291	79	23	40	3	1	63	23	101	1.000	0.617	1.792E-05	38
P25682	A0A820F434	0.333	78	26	37	3	1	63	27	104	1.000	0.609	1.792E-05	38
P25682	A0A6P3TJS8	0.291	79	23	40	3	1	63	23	101	1.000	0.617	1.792E-05	38
P25682	A0A6I9WG93	0.280	75	21	39	3	1	62	26	98	0.984	0.570	1.792E-05	38
P25682	B3M076	0.333	51	17	32	1	12	62	105	153	0.810	0.265	1.792E-05	38
P25682	A0A6I8UML3	0.333	51	17	32	1	12	62	110	158	0.810	0.259	1.792E-05	38
P25682	A0A8C2XYD0	0.291	79	23	40	3	1	63	85	163	1.000	0.416	1.792E-05	38
P25682	A0A6J2R087	0.343	67	23	27	4	1	61	20	75	0.968	0.675	2.469E-05	38
P25682	A0A194ATB7	0.625	24	15	8	1	1	24	22	44	0.381	0.274	2.469E-05	38
P25682	A0A3B0KC33	0.333	51	17	32	1	12	62	112	160	0.810	0.257	2.469E-05	38
P25682	A0AAU9F8K8	0.333	51	17	32	1	12	62	112	160	0.810	0.257	2.469E-05	38
P25682	A0A6P9C8Z9	0.308	68	21	37	3	1	62	23	86	0.984	0.719	3.402E-05	38
P25682	A0AAV1LHW1	0.347	46	16	28	1	17	62	52	95	0.730	0.370	3.402E-05	38
P25682	A0A158P0Q4	0.280	75	21	39	2	1	62	26	98	0.984	0.570	3.402E-05	38
P25682	A0A7M7GE11	0.320	75	24	36	3	1	62	28	100	0.984	0.562	3.402E-05	38
P25682	A0A6J2TIV8	0.333	51	17	32	1	12	62	90	138	0.810	0.288	3.402E-05	38
P25682	A0A3Q2Y2F2	0.328	70	23	39	4	1	62	9	78	0.984	0.886	4.688E-05	37
P25682	A0A553R9Y3	0.327	61	20	39	1	1	61	21	79	0.968	0.738	4.688E-05	37
P25682	P81783	0.375	48	18	28	1	17	62	40	87	0.730	0.552	4.688E-05	37
P25682	K7E147	0.333	66	22	40	2	1	62	21	86	0.984	0.564	4.688E-05	37
P25682	T1GCJ9	0.404	42	17	23	1	21	62	60	99	0.667	0.336	4.688E-05	37
P25682	A0A2Y9JAL2	0.356	73	26	36	4	1	62	20	92	0.984	0.593	4.688E-05	37
P25682	A0AAJ7IW96	0.372	51	19	29	2	12	62	52	99	0.810	0.384	4.688E-05	37
P25682	A0AAW0ZY53	0.302	76	23	37	3	1	62	26	99	0.984	0.592	4.688E-05	37
P25682	A0A6J3LB98	0.311	77	24	35	4	1	62	26	99	0.984	0.592	4.688E-05	37
P25682	A0A6J2SWN0	0.333	51	17	32	1	12	62	90	138	0.810	0.308	4.688E-05	37
P25682	B4K4X9	0.333	51	17	32	1	12	62	117	165	0.810	0.263	4.688E-05	37
P25682	P15818	0.375	48	18	28	1	17	62	40	87	0.730	0.552	6.459E-05	37
P25682	G5C8X5	0.324	74	24	39	3	1	63	21	94	1.000	0.602	6.459E-05	37
P25682	B4JYS8	0.333	51	17	32	1	12	62	69	117	0.810	0.355	6.459E-05	37
P25682	A0A8C7DVX6	0.328	64	21	39	2	2	62	124	186	0.968	0.337	6.459E-05	37
P25682	A0A0Q9X0I8	0.333	66	22	34	3	1	62	28	87	0.984	0.312	6.459E-05	37
P25682	A0AAN7XU35	0.323	68	22	27	4	1	61	20	75	0.968	0.727	8.901E-05	36
P25682	A0A814DSB1	0.309	84	26	35	4	1	63	28	109	1.000	0.739	8.901E-05	36
P25682	A0A8C2VD64	0.328	73	24	38	3	1	62	20	92	0.984	0.598	8.901E-05	36
P25682	A0A8D0CWM8	0.328	64	21	34	4	2	62	114	171	0.968	0.297	8.901E-05	36
P25682	A0A5J5DKB2	0.343	64	22	31	4	1	61	20	75	0.968	0.747	1.227E-04	36
P25682	A0A6J0SU10	0.300	70	21	39	3	1	62	25	92	0.984	0.576	1.227E-04	36
P25682	A0A8S4G0B3	0.326	46	15	29	1	17	62	54	97	0.730	0.370	1.227E-04	36
P25682	A0AAV6YM01	0.333	72	24	37	4	1	62	27	97	0.984	0.582	1.227E-04	36
P25682	A0A820SX69	0.363	55	20	28	2	16	63	50	104	0.762	0.430	1.227E-04	36
P25682	P01399	0.323	65	21	40	2	1	62	1	64	0.984	0.985	1.690E-04	36
P25682	A0A6P8PTC0	0.338	71	24	38	3	1	62	21	91	0.984	0.740	1.690E-04	36
P25682	A0A287CXF4	0.352	68	24	38	4	1	62	17	84	0.984	0.636	1.690E-04	36
P25682	A0A6J0VA23	0.302	76	23	35	3	1	62	13	84	0.984	0.649	1.690E-04	36
P25682	A0A8C9Q8Y6	0.352	68	24	38	4	1	62	24	91	0.984	0.596	1.690E-04	36
P25682	A0A6P7ZH77	0.351	74	26	34	4	1	62	21	92	0.984	0.605	1.690E-04	36
P25682	A0A6J0V3N4	0.302	76	23	35	3	1	62	21	92	0.984	0.605	1.690E-04	36
P25682	A0A6P7HDG9	0.390	41	16	23	1	22	62	57	95	0.651	0.315	1.690E-04	36
P25682	A0A212CE77	0.278	79	22	41	3	1	63	23	101	1.000	0.617	1.690E-04	36
P25682	A0A5N3W8U0	0.278	79	22	41	3	1	63	23	101	1.000	0.617	1.690E-04	36
P25682	A0A5N3XEC3	0.278	79	22	41	3	1	63	23	101	1.000	0.617	1.690E-04	36
P25682	A0A6J0Y249	0.278	79	22	41	3	1	63	23	101	1.000	0.617	1.690E-04	36
P25682	A0A6J0V3H5	0.302	76	23	35	3	1	62	35	106	0.984	0.541	1.690E-04	36
P25682	P0DQH2	0.340	50	17	26	2	16	62	11	56	0.746	0.807	2.330E-04	35
P25682	P0DSN0	0.369	65	24	29	4	1	62	1	56	0.984	0.918	2.330E-04	35
P25682	A0A484DI85	0.343	64	22	31	4	1	61	20	75	0.968	0.747	2.330E-04	35
P25682	P82935	0.307	65	20	41	2	1	62	22	85	0.984	0.744	2.330E-04	35
P25682	A0A8C6AFJ5	0.352	68	24	38	4	1	62	16	83	0.984	0.642	2.330E-04	35
P25682	A0A8D2DN11	0.352	68	24	38	4	1	62	16	83	0.984	0.642	2.330E-04	35
P25682	A0A9F2R1B0	0.315	73	23	34	5	1	62	25	92	0.984	0.576	2.330E-04	35
P25682	A0AA35NW11	0.338	71	24	38	4	1	62	25	95	0.984	0.587	2.330E-04	35
P25682	A0A2Y9E6P5	0.328	73	24	39	3	1	63	21	93	1.000	0.593	2.330E-04	35
P25682	A0A3Q7R3I8	0.342	73	25	37	3	1	62	21	93	0.984	0.589	2.330E-04	35
