protein_id,protein_name,organism,sequence_length,domain_start,domain_end,domain_score,signature_name
A0A061IIK1,Ig-like domain-containing protein,Cricetulus griseus (Chinese hamster),301,7,297,,InterPro:IPR026524
A0A061IJJ7,Ig-like domain-containing protein,Cricetulus griseus (Chinese hamster),302,7,298,,InterPro:IPR026524
A0A091CPQ3,UPAR/Ly6 domain-containing protein,Fukomys damarensis (Damaraland mole rat),138,19,137,,InterPro:IPR026524
A0A091CS06,Ig-like domain-containing protein,Fukomys damarensis (Damaraland mole rat),298,1,293,,InterPro:IPR026524
A0A096MJA3,Ig-like domain-containing protein,Rattus norvegicus (Rat),301,1,297,,InterPro:IPR026524
A0A0D9R8G0,Ig-like domain-containing protein,Chlorocebus sabaeus (Green monkey),290,1,289,,InterPro:IPR026524
A0A0D9R8G1,UPAR/Ly6 domain-containing protein,Chlorocebus sabaeus (Green monkey),133,19,132,,InterPro:IPR026524
A0A0D9R8G2,Ig-like domain-containing protein,Chlorocebus sabaeus (Green monkey),382,1,381,,InterPro:IPR026524
A0A0G2JK05,Ig-like domain-containing protein,Homo sapiens (Human),382,1,381,,InterPro:IPR026524
A0A140T8Z4,Ig-like domain-containing protein,Homo sapiens (Human),382,1,381,,InterPro:IPR026524
A0A140TAE8,Lymphocyte antigen 6 complex locus protein G6d,Rattus norvegicus (Rat),333,1,217,,InterPro:IPR026524
A0A151NCF0,Ig-like domain-containing protein,Alligator mississippiensis (American alligator),196,21,112,,InterPro:IPR026524
A0A151NCT6,Ig-like domain-containing protein,Alligator mississippiensis (American alligator),214,31,130,,InterPro:IPR026524
A0A1A6G1R6,Ig-like domain-containing protein,Neotoma lepida (Desert woodrat),324,79,323,,InterPro:IPR026524
A0A1A6G2Q7,UPAR/Ly6 domain-containing protein,Neotoma lepida (Desert woodrat),132,20,132,,InterPro:IPR026524
A0A1L6Z9X4,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),133,19,132,,InterPro:IPR026524
A0A1L6Z9Y5,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),150,1,149,,InterPro:IPR026524
A0A1L6Z9Z3,Ig-like domain-containing protein,Homo sapiens (Human),297,1,294,,InterPro:IPR026524
A0A1L6Z9Z5,G6F-LY6G6D fusion protein,Macaca mulatta (Rhesus macaque),208,1,76,,InterPro:IPR026524
A0A1L6Z9Z7,Ig-like domain-containing protein,Macaca mulatta (Rhesus macaque),382,1,381,,InterPro:IPR026524
A0A1L6Z9Z9,G6F-LY6G6D fusion protein,Macaca mulatta (Rhesus macaque),226,1,81,,InterPro:IPR026524
A0A1L6ZA00,Ig-like domain-containing protein,Macaca mulatta (Rhesus macaque),297,1,293,,InterPro:IPR026524
A0A1L6ZA01,UPAR/Ly6 domain-containing protein,Macaca mulatta (Rhesus macaque),165,1,164,,InterPro:IPR026524
A0A1L6ZA02,Ig-like domain-containing protein,Macaca mulatta (Rhesus macaque),373,1,293,,InterPro:IPR026524
A0A1L6ZA04,Ig-like domain-containing protein,Macaca mulatta (Rhesus macaque),286,1,272,,InterPro:IPR026524
A0A1L6ZA05,Ig-like domain-containing protein,Sus scrofa (Pig),290,1,286,,InterPro:IPR026524
A0A1L6ZA08,Ig-like domain-containing protein,Sus scrofa (Pig),299,1,295,,InterPro:IPR026524
A0A1L6ZA09,Lymphocyte antigen 6 complex locus G6F,Bos taurus (Bovine),159,1,130,,InterPro:IPR026524
A0A1L6ZA11,Ig-like domain-containing protein,Sus scrofa (Pig),304,1,300,,InterPro:IPR026524
A0A1L6ZA12,Lymphocyte antigen 6 complex locus G6F,Bos taurus (Bovine),299,1,295,,InterPro:IPR026524
A0A1L6ZA16,G6F-LY6G6D fusion protein,Sus scrofa (Pig),184,1,59,,InterPro:IPR026524
A0A1L6ZA19,Ig-like domain-containing protein,Sus scrofa (Pig),418,1,293,,InterPro:IPR026524
A0A1L6ZA20,Lymphocyte antigen 6 complex locus G6F,Sus scrofa (Pig),65,1,61,,InterPro:IPR026524
A0A1L6ZA22,G6F-LY6G6D fusion protein,Sus scrofa (Pig),179,1,54,,InterPro:IPR026524
A0A1L6ZA25,UPAR/Ly6 domain-containing protein,Rattus norvegicus (Rat),114,19,113,,InterPro:IPR026524
A0A1L6ZA26,Lymphocyte antigen 6 complex locus protein G6d,Rattus norvegicus (Rat),147,1,146,,InterPro:IPR026524
A0A1L6ZA31,UPAR/Ly6 domain-containing protein,Sus scrofa (Pig),174,40,173,,InterPro:IPR026524
A0A1L6ZA32,G6F-LY6G6D fusion protein,Rattus norvegicus (Rat),61,1,57,,InterPro:IPR026524
A0A1L6ZA36,Lymphocyte antigen 6 complex locus protein G6d,Mus musculus (Mouse),135,16,135,,InterPro:IPR026524
A0A1L6ZA38,Ig-like domain-containing protein,Mus musculus (Mouse),299,1,295,,InterPro:IPR026524
A0A1L6ZA40,Lymphocyte antigen 6 complex locus G6F,Mus musculus (Mouse),102,19,98,,InterPro:IPR026524
A0A1L6ZA41,G6F-LY6G6D fusion protein,Mus musculus (Mouse),77,10,69,,InterPro:IPR026524
A0A1L6ZA43,UPAR/Ly6 domain-containing protein,Mus musculus (Mouse),131,23,131,,InterPro:IPR026524
A0A1L6ZA45,Lymphocyte antigen 6 complex locus protein G6d,Rattus norvegicus (Rat),134,19,133,,InterPro:IPR026524
A0A1L6ZA96,Ig-like domain-containing protein,Homo sapiens (Human),382,1,381,,InterPro:IPR026524
A0A1S3ALM5,Ig-like domain-containing protein,Erinaceus europaeus (Western European hedgehog),391,1,388,,InterPro:IPR026524
A0A1S3GDA7,Ig-like domain-containing protein,Dipodomys ordii (Ord's kangaroo rat),300,1,296,,InterPro:IPR026524
A0A1S3GFM3,UPAR/Ly6 domain-containing protein,Dipodomys ordii (Ord's kangaroo rat),137,19,134,,InterPro:IPR026524
A0A1U7R655,UPAR/Ly6 domain-containing protein,Mesocricetus auratus (Golden hamster),135,19,135,,InterPro:IPR026524
A0A1U7RGJ7,Ig-like domain-containing protein,Mesocricetus auratus (Golden hamster),300,6,296,,InterPro:IPR026524
A0A1U8DYE2,Ig-like domain-containing protein,Alligator sinensis (Chinese alligator),199,24,119,,InterPro:IPR026524
A0A1U9X7Z5,Ig-like domain-containing protein,Homo sapiens (Human),297,1,294,,InterPro:IPR026524
A0A1U9X7Z8,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),133,19,132,,InterPro:IPR026524
A0A1U9X800,Ig-like domain-containing protein,Homo sapiens (Human),297,1,294,,InterPro:IPR026524
A0A1U9X801,Ig-like domain-containing protein,Homo sapiens (Human),297,1,294,,InterPro:IPR026524
A0A1U9X808,Ig-like domain-containing protein,Homo sapiens (Human),297,1,294,,InterPro:IPR026524
A0A212D4F8,Immunoglobulin domain-containing protein,Cervus elaphus hippelaphus (European red deer),391,1,261,,InterPro:IPR026524
A0A286XSD7,UPAR/Ly6 domain-containing protein,Cavia porcellus (Guinea pig),140,21,139,,InterPro:IPR026524
A0A287CZG1,UPAR/Ly6 domain-containing protein,Ictidomys tridecemlineatus (Thirteen-lined ground squirrel),141,19,140,,InterPro:IPR026524
A0A2I2V2T4,UPAR/Ly6 domain-containing protein,Felis catus (Cat),132,19,132,,InterPro:IPR026524
A0A2I2YQW6,Ig-like domain-containing protein,Gorilla gorilla gorilla (Western lowland gorilla),286,1,272,,InterPro:IPR026524
A0A2I2YZ11,Ig-like domain-containing protein,Gorilla gorilla gorilla (Western lowland gorilla),373,1,293,,InterPro:IPR026524
A0A2I2ZKX7,Ig-like domain-containing protein,Gorilla gorilla gorilla (Western lowland gorilla),297,1,294,,InterPro:IPR026524
A0A2I3RHC0,Ig-like domain-containing protein,Pan troglodytes (Chimpanzee),382,1,381,,InterPro:IPR026524
A0A2I3RPD0,Ig-like domain-containing protein,Pan troglodytes (Chimpanzee),297,1,294,,InterPro:IPR026524
A0A2J8NXY2,UPAR/Ly6 domain-containing protein,Pan troglodytes (Chimpanzee),133,19,132,,InterPro:IPR026524
A0A2J8R4N8,UPAR/Ly6 domain-containing protein,Pongo abelii (Sumatran orangutan),133,19,132,,InterPro:IPR026524
A0A2K5ES75,Ig-like domain-containing protein,Aotus nancymaae (Ma's night monkey),304,1,300,,InterPro:IPR026524
A0A2K5H7T8,Ig-like domain-containing protein,Colobus angolensis palliatus (Peters' Angolan colobus),297,1,293,,InterPro:IPR026524
A0A2K5H847,Ig-like domain-containing protein,Colobus angolensis palliatus (Peters' Angolan colobus),382,1,381,,InterPro:IPR026524
