protein_id,domain1,domain2,signature1,signature2,domain1_length,domain2_length
A0A091DVJ4,IPR042339:43-171,IPR035076:63-136,InterPro:IPR042339,InterPro:IPR035076,129,74
A0A091DVJ4,IPR042339:43-171,IPR016054:63-150,InterPro:IPR042339,InterPro:IPR016054,129,88
A0A091DVJ4,IPR042339:43-171,IPR045860:57-137,InterPro:IPR042339,InterPro:IPR045860,129,81
A0A091DVJ4,IPR035076:63-136,IPR016054:63-150,InterPro:IPR035076,InterPro:IPR016054,74,88
A0A091DVJ4,IPR035076:63-136,IPR045860:57-137,InterPro:IPR035076,InterPro:IPR045860,74,81
A0A091DVJ4,IPR016054:63-150,IPR045860:57-137,InterPro:IPR016054,InterPro:IPR045860,88,81
A0A096MSF9,IPR042339:144-268,IPR035076:164-236,InterPro:IPR042339,InterPro:IPR035076,125,73
A0A096MSF9,IPR042339:144-268,IPR016054:164-250,InterPro:IPR042339,InterPro:IPR016054,125,87
A0A096MSF9,IPR042339:144-268,IPR045860:159-237,InterPro:IPR042339,InterPro:IPR045860,125,79
A0A096MSF9,IPR035076:164-236,IPR016054:164-250,InterPro:IPR035076,InterPro:IPR016054,73,87
A0A096MSF9,IPR035076:164-236,IPR045860:159-237,InterPro:IPR035076,InterPro:IPR045860,73,79
A0A096MSF9,IPR016054:164-250,IPR045860:159-237,InterPro:IPR016054,InterPro:IPR045860,87,79
A0A0D9RA07,IPR042339:1-125,IPR035076:21-93,InterPro:IPR042339,InterPro:IPR035076,125,73
A0A0D9RA07,IPR042339:1-125,IPR016054:21-106,InterPro:IPR042339,InterPro:IPR016054,125,86
A0A0D9RA07,IPR042339:1-125,IPR045860:16-94,InterPro:IPR042339,InterPro:IPR045860,125,79
A0A0D9RA07,IPR035076:21-93,IPR016054:21-106,InterPro:IPR035076,InterPro:IPR016054,73,86
A0A0D9RA07,IPR035076:21-93,IPR045860:16-94,InterPro:IPR035076,InterPro:IPR045860,73,79
A0A0D9RA07,IPR016054:21-106,IPR045860:16-94,InterPro:IPR016054,InterPro:IPR045860,86,79
A0A0P6J2F5,IPR042339:5-134,IPR035076:25-98,InterPro:IPR042339,InterPro:IPR035076,130,74
A0A0P6J2F5,IPR042339:5-134,IPR016054:25-112,InterPro:IPR042339,InterPro:IPR016054,130,88
A0A0P6J2F5,IPR042339:5-134,IPR045860:19-99,InterPro:IPR042339,InterPro:IPR045860,130,81
A0A0P6J2F5,IPR035076:25-98,IPR016054:25-112,InterPro:IPR035076,InterPro:IPR016054,74,88
A0A0P6J2F5,IPR035076:25-98,IPR045860:19-99,InterPro:IPR035076,InterPro:IPR045860,74,81
A0A0P6J2F5,IPR016054:25-112,IPR045860:19-99,InterPro:IPR016054,InterPro:IPR045860,88,81
A0A1A6GES9,IPR042339:91-198,IPR035076:96-168,InterPro:IPR042339,InterPro:IPR035076,108,73
A0A1A6GES9,IPR042339:91-198,IPR016054:96-181,InterPro:IPR042339,InterPro:IPR016054,108,86
A0A1A6GES9,IPR042339:91-198,IPR045860:92-169,InterPro:IPR042339,InterPro:IPR045860,108,78
A0A1A6GES9,IPR035076:96-168,IPR016054:96-181,InterPro:IPR035076,InterPro:IPR016054,73,86
