identifier,is_transmembrane,is_helix,is_beta,has_signal,pfam,primary_interpro_id,primary_interpro_short_name,phylum,order
A0S864,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
A0S865,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
B3EWF8,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
B5A5T4,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
C0HJD3,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
D3ZTT2,False,False,False,True,PF16975;,IPR039457,LYPD6-like,Chordata,Rodentia
O43653,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates
O55186,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
O95867,False,False,False,True,,IPR039237,LY6G6C,Chordata,Primates
O95868,False,False,False,True,,IPR026524,LY6G6d/LY6G6f,Chordata,Primates
P01391,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01398,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01445,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01446,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P05533,False,False,False,True,PF00021;,IPR051445,LY6H/LY6L_nAChR_modulators,Chordata,Rodentia
P0C1Z0,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P0DKR6,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P0DP57,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates
P0DP58,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Primates
P0DP60,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
P0DPQ9,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Cypriniformes
P13987,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates
P27274,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
P28375,False,False,False,False,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P55000,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates
P60305,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P60615,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P60770,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P60775,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P80958,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P82935,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P83302,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P85092,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
Q06ZW0,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
Q09098,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Rodentia
Q14210,False,False,False,True,PF00021;,IPR042339,Ly6D,Chordata,Primates
Q16553,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates
Q53B58,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
Q5SRR4,False,False,False,True,,IPR026110,LY6G5C,Chordata,Primates
Q64253,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
Q66IA6,False,False,False,True,PF16975;,IPR039457,LYPD6-like,Chordata,Cypriniformes
Q86Y78,False,False,False,True,PF16975;,IPR039457,LYPD6-like,Chordata,Primates
Q8BLC3,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Rodentia
Q8IV16,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates
Q8K1T6,False,False,False,True,PF01064;,IPR045860,Snake_toxin-like_sf,Chordata,Rodentia
Q8N2G4,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Primates
Q8QGR0,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
Q8TDM5,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates
Q9CWP4,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
Q9VII1,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
Q9VKA0,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
Q9VPR7,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Arthropoda,Diptera
Q9VTM6,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
Q9VZ21,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
Q9W3T7,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
Q9WUC3,False,False,False,True,PF00021;,IPR051445,LY6H/LY6L_nAChR_modulators,Chordata,Rodentia
Q9Z0K7,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
Q9Z1Q3,False,False,False,True,,IPR026524,LY6G6d/LY6G6f,Chordata,Rodentia
U3FAE1,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
A0A346CIA0,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
A0A346CIB3,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
B3MFC2,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
B3NSF6,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
B4GAN3,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
B4HNI3,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
B4J8Z9,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
B4KR21,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
B4LQ44,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
B4MQJ1,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
B4P641,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
B4QBL6,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
B5E022,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
C0HJD7,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
C1IC47,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
C1IC49,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
E2ITZ3,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
H2LID1,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Beloniformes
K9MCH1,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
O62680,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Artiodactyla
O77541,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Lagomorpha
O94772,False,False,False,True,PF00021;,IPR051445,LY6H/LY6L_nAChR_modulators,Chordata,Primates
