identifier,is_transmembrane,is_helix,is_beta,has_signal,organism_id,pfam,primary_interpro_id,primary_interpro_short_name,phylum,order,family,genus,species
A0S864,False,False,False,True,92519,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Colubridae,Boiga,Boiga irregularis
A0S865,False,False,False,True,92519,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Colubridae,Boiga,Boiga irregularis
B3EWF8,False,False,False,True,430902,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Micrurus,Micrurus mipartitus
B5A5T4,False,False,False,True,7227,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster
C0HJD3,False,False,False,True,121355,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Colubridae,Oxybelis,Oxybelis fulgidus
D3ZTT2,False,False,False,True,10116,PF16975;,IPR039457,LYPD6-like,Chordata,Rodentia,Muridae,Rattus,Rattus norvegicus
O43653,False,False,False,True,9606,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens
O55186,False,False,False,True,10090,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus
O95867,False,False,False,True,9606,,IPR039237,LY6G6C,Chordata,Primates,Hominidae,Homo,Homo sapiens
O95868,False,False,False,True,9606,,IPR026524,LY6G6d/LY6G6f,Chordata,Primates,Hominidae,Homo,Homo sapiens
P01391,False,False,False,False,8649,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia
P01398,False,False,False,True,8616,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus multicinctus
P01445,False,False,False,False,8649,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia
P01446,False,False,False,False,8649,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia
P05533,False,False,False,True,10090,PF00021;,IPR051445,LY6H/LY6L_nAChR_modulators,Chordata,Rodentia,Muridae,Mus,Mus musculus
P0C1Z0,False,False,False,False,8618,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps
P0DKR6,False,False,False,True,8620,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis
P0DP57,False,False,False,True,9606,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens
P0DP58,False,False,False,True,9606,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens
P0DP60,False,False,False,True,10090,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus
P0DPQ9,False,False,False,True,7955,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Cypriniformes,Danionidae,Danio,Danio rerio
P13987,False,False,False,True,9606,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens
P27274,False,False,False,True,10116,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Rattus,Rattus norvegicus
P28375,False,False,False,False,8619,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis jamesoni
P55000,False,False,False,True,9606,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens
