protein_id,protein_name,organism,sequence_length,domain_start,domain_end,domain_score,signature_name
A0A061IN68,"TGF-beta receptor/activin receptor, type I/II containing protein",Cricetulus griseus (Chinese hamster),331,1,122,,InterPro:IPR039237
A0A091CTZ3,UPAR/Ly6 domain-containing protein,Fukomys damarensis (Damaraland mole rat),125,1,125,,InterPro:IPR039237
A0A0D9R8I0,UPAR/Ly6 domain-containing protein,Chlorocebus sabaeus (Green monkey),125,1,125,,InterPro:IPR039237
A0A0P6JYK2,UPAR/Ly6 domain-containing protein,Heterocephalus glaber (Naked mole rat),125,1,125,,InterPro:IPR039237
A0A151M3P9,UPAR/Ly6 domain-containing protein,Alligator mississippiensis (American alligator),128,1,119,,InterPro:IPR039237
A0A1A6G2R9,UPAR/Ly6 domain-containing protein,Neotoma lepida (Desert woodrat),107,1,107,,InterPro:IPR039237
A0A1S3ALL0,UPAR/Ly6 domain-containing protein,Erinaceus europaeus (Western European hedgehog),125,1,125,,InterPro:IPR039237
A0A1S3GFL4,UPAR/Ly6 domain-containing protein,Dipodomys ordii (Ord's kangaroo rat),125,1,125,,InterPro:IPR039237
A0A1U7QVF9,UPAR/Ly6 domain-containing protein,Mesocricetus auratus (Golden hamster),126,1,126,,InterPro:IPR039237
A0A1U7SL27,UPAR/Ly6 domain-containing protein,Alligator sinensis (Chinese alligator),128,1,119,,InterPro:IPR039237
A0A1U7UJ73,UPAR/Ly6 domain-containing protein,Carlito syrichta (Philippine tarsier),125,1,125,,InterPro:IPR039237
A0A1U9X7Z1,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),125,1,125,,InterPro:IPR039237
A0A1U9X806,UPAR/Ly6 domain-containing protein,Homo sapiens (Human),125,1,125,,InterPro:IPR039237
A0A212D4S4,UPAR/Ly6 domain-containing protein,Cervus elaphus hippelaphus (European red deer),125,1,125,,InterPro:IPR039237
A0A250XUY9,UPAR/Ly6 domain-containing protein,Castor canadensis (American beaver),125,1,125,,InterPro:IPR039237
A0A286XHH1,Lymphocyte antigen 6 family member G6C,Cavia porcellus (Guinea pig),71,3,56,,InterPro:IPR039237
A0A287ADZ3,UPAR/Ly6 domain-containing protein,Sus scrofa (Pig),125,1,125,,InterPro:IPR039237
A0A287D661,UPAR/Ly6 domain-containing protein,Ictidomys tridecemlineatus (Thirteen-lined ground squirrel),72,1,56,,InterPro:IPR039237
A0A287DDK0,UPAR/Ly6 domain-containing protein,Ictidomys tridecemlineatus (Thirteen-lined ground squirrel),125,1,125,,InterPro:IPR039237
A0A2I3S8U6,UPAR/Ly6 domain-containing protein,Pan troglodytes (Chimpanzee),125,1,125,,InterPro:IPR039237
A0A2J8NXY6,LY6G6C isoform 2,Pan troglodytes (Chimpanzee),69,1,69,,InterPro:IPR039237
A0A2J8R4N2,UPAR/Ly6 domain-containing protein,Pongo abelii (Sumatran orangutan),125,1,125,,InterPro:IPR039237
A0A2J8R4N6,LY6G6C isoform 2,Pongo abelii (Sumatran orangutan),69,1,69,,InterPro:IPR039237
A0A2K5EBM4,UPAR/Ly6 domain-containing protein,Aotus nancymaae (Ma's night monkey),125,1,124,,InterPro:IPR039237
A0A2K5ICN1,UPAR/Ly6 domain-containing protein,Colobus angolensis palliatus (Peters' Angolan colobus),125,1,125,,InterPro:IPR039237
A0A2K5NLV0,UPAR/Ly6 domain-containing protein,Cercocebus atys (Sooty mangabey),125,1,125,,InterPro:IPR039237
A0A2K5RBC3,UPAR/Ly6 domain-containing protein,Cebus imitator (Panamanian white-faced capuchin),125,1,125,,InterPro:IPR039237
A0A2K6A8Y8,UPAR/Ly6 domain-containing protein,Mandrillus leucophaeus (Drill),125,1,125,,InterPro:IPR039237
A0A2K6C7C7,UPAR/Ly6 domain-containing protein,Macaca nemestrina (Pig-tailed macaque),125,1,125,,InterPro:IPR039237
A0A2K6F9R6,UPAR/Ly6 domain-containing protein,Propithecus coquereli (Coquerel's sifaka),125,1,125,,InterPro:IPR039237
A0A2K6PDM8,UPAR/Ly6 domain-containing protein,Rhinopithecus roxellana (Golden snub-nosed monkey),125,1,125,,InterPro:IPR039237
A0A2K6V4T9,UPAR/Ly6 domain-containing protein,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),125,1,125,,InterPro:IPR039237
A0A2R8ZTK2,UPAR/Ly6 domain-containing protein,Pan paniscus (Pygmy chimpanzee),125,1,125,,InterPro:IPR039237
A0A2U3WZZ1,UPAR/Ly6 domain-containing protein,Odobenus rosmarus divergens (Pacific walrus),125,1,125,,InterPro:IPR039237
A0A2U3Y478,UPAR/Ly6 domain-containing protein,Leptonychotes weddellii (Weddell seal),125,1,125,,InterPro:IPR039237
A0A2Y9EBT0,UPAR/Ly6 domain-containing protein,Trichechus manatus latirostris (Florida manatee),125,1,125,,InterPro:IPR039237
A0A2Y9EW22,UPAR/Ly6 domain-containing protein,Physeter macrocephalus (Sperm whale),125,1,125,,InterPro:IPR039237
A0A2Y9HSB9,UPAR/Ly6 domain-containing protein,Neomonachus schauinslandi (Hawaiian monk seal),125,1,125,,InterPro:IPR039237
A0A2Y9KB81,UPAR/Ly6 domain-containing protein,Enhydra lutris kenyoni (northern sea otter),174,47,174,,InterPro:IPR039237
A0A2Y9MID5,UPAR/Ly6 domain-containing protein,Delphinapterus leucas (Beluga whale),125,1,125,,InterPro:IPR039237
A0A340XDT2,UPAR/Ly6 domain-containing protein,Lipotes vexillifer (Yangtze river dolphin),125,1,125,,InterPro:IPR039237
A0A341AV73,UPAR/Ly6 domain-containing protein,Neophocaena asiaeorientalis asiaeorientalis (Yangtze finless porpoise),125,1,125,,InterPro:IPR039237
A0A384B2Z6,UPAR/Ly6 domain-containing protein,Balaenoptera acutorostrata scammoni (North Pacific minke whale),125,1,125,,InterPro:IPR039237
A0A384DTK8,UPAR/Ly6 domain-containing protein,Ursus maritimus (Polar bear),125,1,125,,InterPro:IPR039237
A0A387LAC6,UPAR/Ly6 domain-containing protein,Pseudorca crassidens (False killer whale),125,1,125,,InterPro:IPR039237
A0A3Q1NCB9,UPAR/Ly6 domain-containing protein,Bos taurus (Bovine),124,14,124,,InterPro:IPR039237
A0A3Q2HYF9,UPAR/Ly6 domain-containing protein,Equus caballus (Horse),164,66,164,,InterPro:IPR039237
A0A3Q2KZG1,UPAR/Ly6 domain-containing protein,Equus caballus (Horse),63,1,56,,InterPro:IPR039237
A0A3Q7NCA7,UPAR/Ly6 domain-containing protein,Callorhinus ursinus (Northern fur seal),125,1,125,,InterPro:IPR039237
A0A3Q7RWH6,UPAR/Ly6 domain-containing protein,Vulpes vulpes (Red fox),125,1,125,,InterPro:IPR039237
