protein_id,protein_name,organism,sequence_length,domain_start,domain_end,domain_score,signature_name
A0A026WMK1,UPAR/Ly6 domain-containing protein,Ooceraea biroi (Clonal raider ant),130,24,114,,InterPro:IPR016054
A0A060VXW0,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),127,20,102,,InterPro:IPR016054
A0A060VZI6,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),300,96,192,,InterPro:IPR016054
A0A060W0E9,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),125,22,102,,InterPro:IPR016054
A0A060W3R1,MAC-inhibitory protein,Oncorhynchus mykiss (Rainbow trout),118,22,104,,InterPro:IPR016054
A0A060W6L9,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),272,27,100,,InterPro:IPR016054
A0A060W6L9,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),272,112,169,,InterPro:IPR016054
A0A060WNJ0,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),119,30,95,,InterPro:IPR016054
A0A060WPJ6,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),119,9,92,,InterPro:IPR016054
A0A060WUH0,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),228,135,217,,InterPro:IPR016054
A0A060WUH0,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),228,41,131,,InterPro:IPR016054
A0A060X4A6,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),139,21,105,,InterPro:IPR016054
A0A060X609,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),207,114,196,,InterPro:IPR016054
A0A060X609,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),207,18,99,,InterPro:IPR016054
A0A060XH26,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),209,115,200,,InterPro:IPR016054
A0A060XH26,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),209,20,108,,InterPro:IPR016054
A0A060Y1D8,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),150,45,137,,InterPro:IPR016054
A0A060Y2T9,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),128,20,112,,InterPro:IPR016054
A0A060YB07,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),125,19,101,,InterPro:IPR016054
A0A060YMT4,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),133,20,101,,InterPro:IPR016054
A0A060YQM3,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),131,27,106,,InterPro:IPR016054
A0A061HU62,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),255,51,119,,InterPro:IPR016054
A0A061HU62,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),255,142,216,,InterPro:IPR016054
A0A061HUJ3,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),203,88,182,,InterPro:IPR016054
A0A061HUJ3,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),203,1,86,,InterPro:IPR016054
A0A061HV01,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),186,88,181,,InterPro:IPR016054
A0A061HV01,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),186,1,86,,InterPro:IPR016054
A0A061HZ68,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1155,677,741,,InterPro:IPR016054
A0A061HZ68,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1155,949,1022,,InterPro:IPR016054
A0A061HZ68,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1155,1059,1127,,InterPro:IPR016054
A0A061HZ68,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1155,759,834,,InterPro:IPR016054
A0A061HZ68,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1155,570,643,,InterPro:IPR016054
A0A061HZ68,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1155,867,930,,InterPro:IPR016054
A0A061HZU9,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1252,1057,1125,,InterPro:IPR016054
A0A061HZU9,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1252,947,1020,,InterPro:IPR016054
A0A061HZU9,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1252,677,741,,InterPro:IPR016054
A0A061HZU9,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1252,865,928,,InterPro:IPR016054
A0A061HZU9,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1252,1153,1200,,InterPro:IPR016054
A0A061HZU9,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1252,570,643,,InterPro:IPR016054
A0A061HZU9,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1252,759,835,,InterPro:IPR016054
A0A061I168,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),96,19,96,,InterPro:IPR016054
A0A061I206,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1257,677,741,,InterPro:IPR016054
A0A061I206,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1257,1158,1205,,InterPro:IPR016054
A0A061I206,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1257,949,1022,,InterPro:IPR016054
A0A061I206,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1257,759,834,,InterPro:IPR016054
A0A061I206,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1257,570,643,,InterPro:IPR016054
A0A061I206,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1257,867,930,,InterPro:IPR016054
A0A061IDA7,Lymphocyte antigen 6H,Cricetulus griseus (Chinese hamster),134,19,118,,InterPro:IPR016054
A0A061IEB5,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),184,28,112,,InterPro:IPR016054
