protein_id,protein_name,tax_id,scientific_name,sequence_length,domain_start,domain_end,signature_name,interpro_domain_name
A0A016RUD2,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,102,13,98,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016SK76,UPAR/Ly6 domain-containing protein,53326,Ancylostoma ceylanicum,685,285,359,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A016SKC5,Mos1 transposase HTH domain-containing protein,53326,Ancylostoma ceylanicum,755,355,429,InterPro:IPR045860,Mos1 transposase HTH domain-containing protein
A0A016SLQ6,Reverse transcriptase domain-containing protein,53326,Ancylostoma ceylanicum,615,531,595,InterPro:IPR045860,Reverse transcriptase domain-containing protein
A0A016SLR2,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,122,16,99,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016SMQ3,Reverse transcriptase domain-containing protein,53326,Ancylostoma ceylanicum,624,540,604,InterPro:IPR045860,Reverse transcriptase domain-containing protein
A0A016SMQ7,Uncharacterized protein,53326,Ancylostoma ceylanicum,119,19,102,InterPro:IPR045860,Uncharacterized protein
A0A016SMU4,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,166,77,143,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016SN68,Uncharacterized protein,53326,Ancylostoma ceylanicum,110,17,90,InterPro:IPR045860,Uncharacterized protein
A0A016SVD9,ET module,53326,Ancylostoma ceylanicum,110,18,91,InterPro:IPR045860,ET module
A0A016SW78,ET module,53326,Ancylostoma ceylanicum,109,18,89,InterPro:IPR045860,ET module
A0A016SWF9,ET module,53326,Ancylostoma ceylanicum,151,59,132,InterPro:IPR045860,ET module
A0A016SWM5,ET module,53326,Ancylostoma ceylanicum,118,20,99,InterPro:IPR045860,ET module
A0A016TGQ5,receptor protein serine/threonine kinase,53326,Ancylostoma ceylanicum,650,92,204,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A016TGX9,receptor protein serine/threonine kinase,53326,Ancylostoma ceylanicum,642,84,196,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A016TNF3,ET module,53326,Ancylostoma ceylanicum,115,17,94,InterPro:IPR045860,ET module
A0A016TNI9,ET module,53326,Ancylostoma ceylanicum,119,21,98,InterPro:IPR045860,ET module
A0A016TXR3,Uncharacterized protein,53326,Ancylostoma ceylanicum,70,12,57,InterPro:IPR045860,Uncharacterized protein
A0A016U0E0,Uncharacterized protein,53326,Ancylostoma ceylanicum,152,58,151,InterPro:IPR045860,Uncharacterized protein
A0A016U4I8,Uncharacterized protein,53326,Ancylostoma ceylanicum,230,125,192,InterPro:IPR045860,Uncharacterized protein
A0A016U546,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,162,3,93,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016U556,Uncharacterized protein,53326,Ancylostoma ceylanicum,225,125,192,InterPro:IPR045860,Uncharacterized protein
A0A016U759,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,169,10,100,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016U7J7,Phlebovirus glycoprotein G2 fusion domain-containing protein,53326,Ancylostoma ceylanicum,114,34,87,InterPro:IPR045860,Phlebovirus glycoprotein G2 fusion domain-containing protein
A0A016U894,Uncharacterized protein,53326,Ancylostoma ceylanicum,145,65,118,InterPro:IPR045860,Uncharacterized protein
A0A016U8G8,Uncharacterized protein,53326,Ancylostoma ceylanicum,142,62,115,InterPro:IPR045860,Uncharacterized protein
A0A016U9G5,Protein quiver,53326,Ancylostoma ceylanicum,210,59,147,InterPro:IPR045860,Protein quiver
A0A016UBH5,UPAR/Ly6 domain-containing protein,53326,Ancylostoma ceylanicum,199,48,136,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A016UEU9,Protein sleepless,53326,Ancylostoma ceylanicum,126,16,105,InterPro:IPR045860,Protein sleepless
A0A016UUB7,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,173,25,109,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016UX52,Protein sleepless,53326,Ancylostoma ceylanicum,230,49,142,InterPro:IPR045860,Protein sleepless
A0A016UXJ8,Uncharacterized protein,53326,Ancylostoma ceylanicum,102,15,83,InterPro:IPR045860,Uncharacterized protein
A0A016UXU2,Protein sleepless,53326,Ancylostoma ceylanicum,251,70,163,InterPro:IPR045860,Protein sleepless
A0A016UYB4,Protein sleepless,53326,Ancylostoma ceylanicum,187,70,163,InterPro:IPR045860,Protein sleepless
A0A016UYZ5,Protein sleepless,53326,Ancylostoma ceylanicum,166,49,142,InterPro:IPR045860,Protein sleepless
A0A016UZW4,Protein sleepless,53326,Ancylostoma ceylanicum,235,118,211,InterPro:IPR045860,Protein sleepless
A0A016V435,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,107,19,93,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016V9T3,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,469,103,180,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016VWX9,receptor protein serine/threonine kinase,53326,Ancylostoma ceylanicum,559,23,139,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A016W8A0,Serine/threonine-protein kinase receptor,53326,Ancylostoma ceylanicum,638,53,157,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A016W915,ET module,53326,Ancylostoma ceylanicum,119,23,101,InterPro:IPR045860,ET module
