protein_id,protein_name,organism,sequence_length,domain_start,domain_end,domain_score,signature_name
A0A016SEB0,UPAR/Ly6 domain-containing protein qvr,Ancylostoma ceylanicum,160,24,136,,InterPro:IPR031424
A0A016SHP2,Protein quiver,Ancylostoma ceylanicum,171,26,146,,InterPro:IPR031424
A0A016SNB4,Protein sleepless,Ancylostoma ceylanicum,172,15,130,,InterPro:IPR031424
A0A016SY42,Uncharacterized protein,Ancylostoma ceylanicum,92,20,81,,InterPro:IPR031424
A0A016SYY1,Uncharacterized protein,Ancylostoma ceylanicum,144,20,82,,InterPro:IPR031424
A0A016SZ28,Protein quiver,Ancylostoma ceylanicum,130,20,109,,InterPro:IPR031424
A0A016TC47,Protein quiver,Ancylostoma ceylanicum,109,8,96,,InterPro:IPR031424
A0A016TCX3,Protein sleepless,Ancylostoma ceylanicum,123,22,110,,InterPro:IPR031424
A0A016TCX6,Protein sleepless,Ancylostoma ceylanicum,140,22,118,,InterPro:IPR031424
A0A016TD22,Protein quiver,Ancylostoma ceylanicum,107,6,94,,InterPro:IPR031424
A0A016TD31,Protein quiver,Ancylostoma ceylanicum,124,6,102,,InterPro:IPR031424
A0A016U9G5,Protein quiver,Ancylostoma ceylanicum,210,23,146,,InterPro:IPR031424
A0A016UBH5,UPAR/Ly6 domain-containing protein,Ancylostoma ceylanicum,199,12,135,,InterPro:IPR031424
A0A016UEU9,Protein sleepless,Ancylostoma ceylanicum,126,18,100,,InterPro:IPR031424
A0A016UX52,Protein sleepless,Ancylostoma ceylanicum,230,52,141,,InterPro:IPR031424
A0A016UXU2,Protein sleepless,Ancylostoma ceylanicum,251,73,162,,InterPro:IPR031424
A0A016UYB4,Protein sleepless,Ancylostoma ceylanicum,187,73,162,,InterPro:IPR031424
A0A016UYZ5,Protein sleepless,Ancylostoma ceylanicum,166,52,141,,InterPro:IPR031424
A0A016UZW4,Protein sleepless,Ancylostoma ceylanicum,235,121,210,,InterPro:IPR031424
A0A023EDS6,Putative retroactive,Aedes albopictus (Asian tiger mosquito),134,9,105,,InterPro:IPR031424
A0A023EFB9,Putative secreted protein,Aedes albopictus (Asian tiger mosquito),151,20,123,,InterPro:IPR031424
