protein_id,protein_name,organism,sequence_length,domain_start,domain_end,domain_score,signature_name
A0A091CTY9,Uncharacterized protein,Fukomys damarensis (Damaraland mole rat),209,4,63,,InterPro:IPR026110
A0A0D9R8D3,Lymphocyte antigen 6 complex locus protein G5c,Chlorocebus sabaeus (Green monkey),148,1,148,,InterPro:IPR026110
A0A140T929,Lymphocyte antigen 6 complex locus protein G5c,Homo sapiens (Human),225,114,225,,InterPro:IPR026110
A0A140T9A4,Lymphocyte antigen 6 complex locus protein G5c,Homo sapiens (Human),225,114,225,,InterPro:IPR026110
A0A140T9E2,Lymphocyte antigen 6 complex locus protein G5c,Homo sapiens (Human),225,114,225,,InterPro:IPR026110
A0A140T9E8,Lymphocyte antigen 6 complex locus protein G5c,Homo sapiens (Human),225,114,225,,InterPro:IPR026110
A0A140T9H6,Lymphocyte antigen 6 complex locus protein G5c,Homo sapiens (Human),225,114,225,,InterPro:IPR026110
A0A140T9R3,Lymphocyte antigen 6 complex locus protein G5c,Homo sapiens (Human),225,114,225,,InterPro:IPR026110
A0A1S3AMB9,Lymphocyte antigen 6 complex locus protein G5c,Erinaceus europaeus (Western European hedgehog),147,1,146,,InterPro:IPR026110
A0A1U7UAX8,Lymphocyte antigen 6 complex locus protein G5c,Carlito syrichta (Philippine tarsier),150,1,149,,InterPro:IPR026110
A0A1U9X7Y6,Lymphocyte antigen 6 complex locus protein G5c,Homo sapiens (Human),150,1,150,,InterPro:IPR026110
A0A1U9X7Z9,Lymphocyte antigen 6 complex locus protein G5c,Homo sapiens (Human),150,1,150,,InterPro:IPR026110
A0A212D4L0,Lymphocyte antigen 6 complex locus protein G5c,Cervus elaphus hippelaphus (European red deer),140,1,139,,InterPro:IPR026110
A0A2I3HF29,Lymphocyte antigen 6 complex locus protein G5c,Nomascus leucogenys (Northern white-cheeked gibbon),147,1,147,,InterPro:IPR026110
A0A2J8NXV3,Lymphocyte antigen 6 complex locus protein G5c,Pan troglodytes (Chimpanzee),224,113,224,,InterPro:IPR026110
A0A2J8NXX1,LY6G5C isoform 6,Pan troglodytes (Chimpanzee),69,1,40,,InterPro:IPR026110
A0A2J8R4P1,LY6G5C isoform 7,Pongo abelii (Sumatran orangutan),69,1,40,,InterPro:IPR026110
