protein_id,protein_name,organism,sequence_length,domain_start,domain_end,domain_score,signature_name
A0A024AX16,Short neurotoxin,Micropechis ikaheca (New Guinean small-eyed snake),83,22,82,,InterPro:IPR003571
A0A024AXD4,Short neurotoxin,Micropechis ikaheca (New Guinean small-eyed snake),83,22,82,,InterPro:IPR003571
A0A024AXD8,Long neurotoxin,Micropechis ikaheca (New Guinean small-eyed snake),104,23,85,,InterPro:IPR003571
A0A024AXH2,Long neurotoxin,Micropechis ikaheca (New Guinean small-eyed snake),104,23,85,,InterPro:IPR003571
A0A024AXY1,Long neurotoxin,Micropechis ikaheca (New Guinean small-eyed snake),103,23,85,,InterPro:IPR003571
A0A024AYC2,Short neurotoxin,Micropechis ikaheca (New Guinean small-eyed snake),83,22,82,,InterPro:IPR003571
A0A090LL14,Uncharacterized protein,Strongyloides ratti (Parasitic roundworm),343,32,90,,InterPro:IPR003571
A0A098LWQ5,Three finger toxin,Python regius (Ball python),82,25,79,,InterPro:IPR003571
A0A098LWU4,3Ftx,Opheodrys aestivus,104,22,84,,InterPro:IPR003571
A0A098LWU5,3Ftx,Opheodrys aestivus,86,23,85,,InterPro:IPR003571
A0A098LWV3,3Ftx B,Opheodrys aestivus,88,22,87,,InterPro:IPR003571
A0A098LY55,Three finger toxin,Python regius (Ball python),86,23,85,,InterPro:IPR003571
A0A098LY61,Three finger toxin,Python regius (Ball python),84,22,84,,InterPro:IPR003571
A0A098LYA2,3Ftx,Opheodrys aestivus,84,22,84,,InterPro:IPR003571
A0A098LYB1,3Ftx,Opheodrys aestivus,86,23,85,,InterPro:IPR003571
A0A098LYG6,Three finger toxin,Pantherophis guttatus (Corn snake),85,23,84,,InterPro:IPR003571
A0A098LYH6,Three finger toxin,Pantherophis guttatus (Corn snake),107,22,91,,InterPro:IPR003571
A0A098LYI1,Three finger toxin,Pantherophis guttatus (Corn snake),85,23,84,,InterPro:IPR003571
A0A098LYI5,Three finger toxin,Pantherophis guttatus (Corn snake),77,24,77,,InterPro:IPR003571
A0A098M253,Three-finger toxin,Hypsiglena sp. JMG-2014,84,22,81,,InterPro:IPR003571
A0A0A1WCI9,3 Finger toxin B,Echis coloratus (Carpet viper),88,22,87,,InterPro:IPR003571
A0A0B8RS19,Three-finger toxin 8e,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
A0A0B8RS22,Three-finger toxin 7d,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
A0A0B8RS24,Three-finger toxin 6b,Philothamnus irregularis (brown tree snake),84,22,84,,InterPro:IPR003571
A0A0B8RS37,Three-finger toxin 4b,Philothamnus irregularis (brown tree snake),105,35,103,,InterPro:IPR003571
A0A0B8RS39,Three-finger toxin 3b,Philothamnus irregularis (brown tree snake),111,42,109,,InterPro:IPR003571
A0A0B8RS42,Three-finger toxin 3c,Philothamnus irregularis (brown tree snake),111,42,109,,InterPro:IPR003571
A0A0B8RS43,Three-finger toxin 2e,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
A0A0B8RS45,Three-finger toxin 1f,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
A0A0B8RS46,Three-finger toxin 1a,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
A0A0B8RS48,Three-finger toxin 10e,Philothamnus irregularis (brown tree snake),104,35,102,,InterPro:IPR003571
A0A0B8RSX8,Three-finger toxin 8b,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
A0A0B8RSY0,Three-finger toxin 7c,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
A0A0B8RSY1,Three-finger toxin 6a,Philothamnus irregularis (brown tree snake),84,22,84,,InterPro:IPR003571
A0A0B8RSY6,Three-finger toxin 4a,Philothamnus irregularis (brown tree snake),105,35,103,,InterPro:IPR003571
A0A0B8RSZ0,Three-finger toxin 2d,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
A0A0B8RSZ1,Three-finger toxin 1e,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
A0A0B8RSZ2,Snake toxin/toxin-like domain-containing protein,Philothamnus irregularis (brown tree snake),127,35,125,,InterPro:IPR003571
A0A0B8RSZ3,Three-finger toxin 10d,Philothamnus irregularis (brown tree snake),104,35,102,,InterPro:IPR003571
A0A0B8RV99,Snake toxin/toxin-like domain-containing protein,Philothamnus irregularis (brown tree snake),105,35,103,,InterPro:IPR003571
A0A0B8RVA2,Snake toxin/toxin-like domain-containing protein,Philothamnus irregularis (brown tree snake),105,35,103,,InterPro:IPR003571
A0A0B8RVA3,Three-finger toxin 8c,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
A0A0B8RVA5,Three-finger toxin 7b,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
A0A0B8RVA6,Three-finger toxin 5,Philothamnus irregularis (brown tree snake),84,22,84,,InterPro:IPR003571
A0A0B8RVB2,Three-finger toxin 3k,Philothamnus irregularis (brown tree snake),111,42,109,,InterPro:IPR003571
A0A0B8RVB7,Three-finger toxin 3a,Philothamnus irregularis (brown tree snake),111,42,109,,InterPro:IPR003571
A0A0B8RVB9,Three-finger toxin 2c,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
A0A0B8RVC5,Three-finger toxin 10c,Philothamnus irregularis (brown tree snake),101,35,99,,InterPro:IPR003571
A0A0B8RYW2,Three-finger toxin 9f,Philothamnus irregularis (brown tree snake),104,35,102,,InterPro:IPR003571
A0A0B8RYW4,Snake toxin/toxin-like domain-containing protein,Philothamnus irregularis (brown tree snake),105,35,103,,InterPro:IPR003571
A0A0B8RYW8,Three-finger toxin 7a,Philothamnus irregularis (brown tree snake),109,46,107,,InterPro:IPR003571
