protein_id,protein_name,organism,sequence_length,domain_start,domain_end,domain_score,signature_name
A0A060WUH0,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),228,135,205,,InterPro:IPR035076
A0A060X609,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),207,114,184,,InterPro:IPR035076
A0A060XH26,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),209,115,187,,InterPro:IPR035076
A0A060Y1D8,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),150,45,123,,InterPro:IPR035076
A0A060Y2T9,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),128,20,98,,InterPro:IPR035076
A0A060ZA58,Snake toxin/toxin-like domain-containing protein,Oncorhynchus mykiss (Rainbow trout),116,20,88,,InterPro:IPR035076
A0A061IHV1,C2H2-type domain-containing protein,Cricetulus griseus (Chinese hamster),400,64,139,,InterPro:IPR035076
A0A061IIT9,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),196,72,165,,InterPro:IPR035076
A0A061IJZ1,C2H2-type domain-containing protein,Cricetulus griseus (Chinese hamster),435,99,174,,InterPro:IPR035076
A0A068WGY6,Snake toxin/toxin-like domain-containing protein,Echinococcus granulosus (Hydatid tapeworm),115,22,90,,InterPro:IPR035076
A0A068YEY1,Snake toxin/toxin-like domain-containing protein,Echinococcus multilocularis (Fox tapeworm),115,22,90,,InterPro:IPR035076
A0A075AIY4,Snake toxin/toxin-like domain-containing protein,Opisthorchis viverrini,192,54,124,,InterPro:IPR035076
A0A075F9M7,Snake toxin/toxin-like domain-containing protein,Fasciola hepatica (Liver fluke),127,28,97,,InterPro:IPR035076
A0A076V5Y0,UPAR/Ly6 domain-containing protein,Sus scrofa (Pig),130,21,98,,InterPro:IPR035076
A0A087R7J0,UPAR/Ly6 domain-containing protein,Aptenodytes forsteri (Emperor penguin),103,21,97,,InterPro:IPR035076
A0A087R7J1,UPAR/Ly6 domain-containing protein,Aptenodytes forsteri (Emperor penguin),112,7,82,,InterPro:IPR035076
A0A087R7J2,UPAR/Ly6 domain-containing protein,Aptenodytes forsteri (Emperor penguin),109,5,80,,InterPro:IPR035076
A0A087R7J3,UPAR/Ly6 domain-containing protein,Aptenodytes forsteri (Emperor penguin),109,4,79,,InterPro:IPR035076
A0A087R7J4,UPAR/Ly6 domain-containing protein,Aptenodytes forsteri (Emperor penguin),110,4,81,,InterPro:IPR035076
A0A087R7J5,Snake toxin/toxin-like domain-containing protein,Aptenodytes forsteri (Emperor penguin),78,4,78,,InterPro:IPR035076
A0A087V3M0,UPAR/Ly6 domain-containing protein,Balearica regulorum gibbericeps (East African grey crowned-crane),109,4,79,,InterPro:IPR035076
A0A087V5W2,UPAR/Ly6 domain-containing protein,Balearica regulorum gibbericeps (East African grey crowned-crane),104,4,75,,InterPro:IPR035076
A0A087VG83,UPAR/Ly6 domain-containing protein,Balearica regulorum gibbericeps (East African grey crowned-crane),106,4,81,,InterPro:IPR035076
A0A087VKX6,UPAR/Ly6 domain-containing protein,Balearica regulorum gibbericeps (East African grey crowned-crane),109,5,80,,InterPro:IPR035076
A0A087VKX7,UPAR/Ly6 domain-containing protein,Balearica regulorum gibbericeps (East African grey crowned-crane),112,7,82,,InterPro:IPR035076
A0A087VKX8,UPAR/Ly6 domain-containing protein,Balearica regulorum gibbericeps (East African grey crowned-crane),86,4,80,,InterPro:IPR035076
A0A087WNS9,Snake toxin/toxin-like domain-containing protein,Mus musculus (Mouse),57,21,52,,InterPro:IPR035076
A0A087WNV7,Snake toxin/toxin-like domain-containing protein,Mus musculus (Mouse),123,61,97,,InterPro:IPR035076
A0A087WPI6,Snake toxin/toxin-like domain-containing protein,Mus musculus (Mouse),111,61,95,,InterPro:IPR035076
A0A087WPY4,UPAR/Ly6 domain-containing protein,Mus musculus (Mouse),130,21,99,,InterPro:IPR035076
A0A087WQ65,UPAR/Ly6 domain-containing protein,Mus musculus (Mouse),113,43,109,,InterPro:IPR035076
A0A087WQL5,Snake toxin/toxin-like domain-containing protein,Mus musculus (Mouse),107,47,96,,InterPro:IPR035076
A0A087WQU7,UPAR/Ly6 domain-containing protein,Mus musculus (Mouse),115,17,85,,InterPro:IPR035076
A0A087WRX0,Snake toxin/toxin-like domain-containing protein,Mus musculus (Mouse),87,23,57,,InterPro:IPR035076
A0A087WRZ2,UPAR/Ly6 domain-containing protein,Mus musculus (Mouse),117,42,116,,InterPro:IPR035076
A0A087WYG6,Snake toxin/toxin-like domain-containing protein,Homo sapiens (Human),84,21,80,,InterPro:IPR035076
A0A087WZS0,Snake toxin/toxin-like domain-containing protein,Homo sapiens (Human),82,21,77,,InterPro:IPR035076
A0A087X399,UPAR/Ly6 domain-containing protein,Poecilia formosa (Amazon molly),215,114,192,,InterPro:IPR035076
A0A087X3A4,UPAR/Ly6 domain-containing protein,Poecilia formosa (Amazon molly),202,109,179,,InterPro:IPR035076
A0A087XNA0,UPAR/Ly6 domain-containing protein,Poecilia formosa (Amazon molly),207,118,184,,InterPro:IPR035076
A0A091D3Y3,Snake toxin/toxin-like domain-containing protein,Fukomys damarensis (Damaraland mole rat),83,32,64,,InterPro:IPR035076
A0A091D6W6,Snake toxin/toxin-like domain-containing protein,Fukomys damarensis (Damaraland mole rat),103,20,96,,InterPro:IPR035076
A0A091D6W9,UPAR/Ly6 domain-containing protein,Fukomys damarensis (Damaraland mole rat),119,21,89,,InterPro:IPR035076
A0A091D8L2,UPAR/Ly6 domain-containing protein,Fukomys damarensis (Damaraland mole rat),126,20,97,,InterPro:IPR035076
A0A091D8L4,UPAR/Ly6 domain-containing protein,Fukomys damarensis (Damaraland mole rat),226,100,182,,InterPro:IPR035076
A0A091D8L9,UPAR/Ly6 domain-containing protein,Fukomys damarensis (Damaraland mole rat),130,21,98,,InterPro:IPR035076
A0A091D983,UPAR/Ly6 domain-containing protein,Fukomys damarensis (Damaraland mole rat),123,21,93,,InterPro:IPR035076
A0A091D988,Ly-6/neurotoxin-like protein 1,Fukomys damarensis (Damaraland mole rat),116,21,92,,InterPro:IPR035076
A0A091D994,Snake toxin/toxin-like domain-containing protein,Fukomys damarensis (Damaraland mole rat),223,58,133,,InterPro:IPR035076
A0A091DVJ4,UPAR/Ly6 domain-containing protein,Fukomys damarensis (Damaraland mole rat),172,63,136,,InterPro:IPR035076
A0A091GCJ1,UPAR/Ly6 domain-containing protein,Cuculus canorus (common cuckoo),109,5,80,,InterPro:IPR035076
A0A091GDP7,UPAR/Ly6 domain-containing protein,Cuculus canorus (common cuckoo),109,3,80,,InterPro:IPR035076
A0A091GFG4,UPAR/Ly6 domain-containing protein,Cuculus canorus (common cuckoo),104,4,75,,InterPro:IPR035076
A0A091GFH0,UPAR/Ly6 domain-containing protein,Cuculus canorus (common cuckoo),112,7,82,,InterPro:IPR035076
A0A091GFZ0,UPAR/Ly6 domain-containing protein,Cuculus canorus (common cuckoo),109,4,79,,InterPro:IPR035076
A0A091GWY9,UPAR/Ly6 domain-containing protein,Buceros rhinoceros silvestris,112,7,82,,InterPro:IPR035076
A0A091GZ52,UPAR/Ly6 domain-containing protein,Buceros rhinoceros silvestris,109,5,80,,InterPro:IPR035076
A0A091H189,Snake toxin/toxin-like domain-containing protein,Cuculus canorus (common cuckoo),77,3,77,,InterPro:IPR035076
