identifier,group,oligomeric_state,last_common_ancestor,length
Centipede3FTx_0001_61981,manually_annotated,monomer,class:Chilopoda,72-95
Centipede3FTx_0033_61981,manually_annotated,monomer,class:Chilopoda,117-140
Centipede3FTx_0097_984703,manually_annotated,monomer,class:Chilopoda,95-117
A0A7J7F872_IPR042339_1_14-139,Ly6,monomer,genus:Diceros,117-140
A0AAD4U641_IPR016054_2_166-237,Ly6,mixture,class:Mammalia,72-95
A0A0F7YYX2_IPR045860_1_12-87,mixture,monomer,genus:Micrurus,72-95
A0A0H4J516_IPR045860_1_12-85,mixture,monomer,genus:Micrurus,72-95
A0A815FLC7_IPR045860_1_58-126,Ly6,monomer,genus:Adineta,50-72
A0A898IN64_IPR045860_1_12-76,3FTx,monomer,genus:Calliophis,50-72
A0AAJ7WWT7_IPR045860_1_23-87,none,multimer,genus:Petromyzon,50-72
A7X3M3_IPR045860_1_13-85,3FTx,monomer,genus:Psammophis,72-95
A8HDK1_IPR045860_1_12-79,mixture,monomer,genus:Pseudonaja,50-72
P15817_IPR045860_1_22-87,none,monomer,genus:Bungarus,50-72
R4G323_IPR045860_1_12-82,mixture,monomer,genus:Pseudonaja,50-72
U3FYQ7_IPR045860_1_12-79,3FTx,monomer,genus:Micrurus,50-72
A0A2J8NXY6_IPR039237_1_1-69,mixture,monomer,class:Mammalia,50-72
A0A341AVB8_IPR026110_1_1-121,none,monomer,order:Artiodactyla,117-140
A0A0N8E6G7_IPR045860_1_41-139,none,monomer,class:Branchiopoda,95-117
A0A1S3GKP1_IPR045860_1_118-196,none,monomer,genus:Dipodomys,72-95
A0A383YVP7_IPR045860_1_28-112,mixture,monomer,order:Artiodactyla,72-95
A0A3B3C5Y7_IPR016054_1_104-175,Ly6,multimer,genus:Oryzias,72-95
A0A3B3VJU1_IPR045860_1_18-103,Ly6,multimer,genus:Poecilia,72-95
A0A3N0XST6_IPR045860_2_122-197,none,multimer,genus:Anabarilius,72-95
A0A3P9H3P4_IPR016054_1_14-107,Ly6,multimer,genus:Oryzias,72-95
A0A3Q0R1E3_IPR016054_2_19-106,Ly6,multimer,genus:Amphilophus,72-95
A0A3Q2G9W1_IPR016054_1_97-182,Ly6,mixture,genus:Cyprinodon,72-95
A0A3Q3BF95_IPR045860_1_19-86,none,monomer,genus:Kryptolebias,50-72
A0A498NGS1_IPR016054_4_323-401,Ly6,multimer,genus:Labeo,72-95
A0A5N5Q6A7_IPR016054_1_20-113,mixture,monomer,order:Siluriformes,72-95
A0A667WNH2_IPR016054_1_12-85,Ly6,monomer,genus:Myripristis,72-95
A0A673AVT1_IPR045860_2_30-109,Ly6,multimer,genus:Sphaeramia,72-95
A0A6I8RFS5_IPR016054_1_13-96,Ly6,monomer,genus:Xenopus,72-95
A0A6P6JYX3_IPR016054_2_114-203,Ly6,multimer,family:Cyprinidae,72-95
A0A6P6NCS0_IPR016054_1_109-186,none,multimer,genus:Carassius,72-95
A0A6P8Q0E7_IPR045860_1_12-105,Ly6,monomer,genus:Geotrypetes,72-95
A0A7I8W1F9_IPR045860_1_17-119,none,monomer,genus:Dimorphilus,95-117
A0A7L0EHP9_IPR045860_1_1-96,none,monomer,genus:Trogon,95-117
A0A813W6N6_IPR045860_1_30-103,none,monomer,genus:Brachionus,72-95
A0A8B8AC98_IPR016054_1_195-292,none,multimer,family:Ostreidae,95-117
A0A8B8EU08_IPR016054_3_2759-2839,Ly6,multimer,family:Ostreidae,72-95
A0A8B8EU57_IPR045860_21_169-241,mixture,multimer,family:Ostreidae,72-95
A0A8D2ZFV5_IPR045860_2_18-104,Ly6,multimer,genus:Scophthalmus,72-95
A0A8M1HDQ2_IPR016054_2_116-208,Ly6,multimer,genus:Betta,72-95
A0A8S3T8U5_IPR016054_2_216-298,none,multimer,genus:Mytilus,72-95
A0A913Y1R8_IPR045860_1_19-99,none,monomer,genus:Exaiptasia,72-95
A0A9Q1AQ89_IPR016054_2_18-105,Ly6,multimer,family:Agamidae,72-95
A0A9W7WCK6_IPR045860_1_107-178,Ly6,multimer,genus:Triplophysa,72-95
A0AA35QR62_IPR016054_1_21-103,Ly6,monomer,genus:Podarcis,72-95
A0AA47NWA2_IPR045860_1_7-91,mixture,monomer,order:Gadiformes,72-95
A0AAD1W781_IPR016054_1_20-103,Ly6,monomer,genus:Pelobates,72-95
A0AAD9K488_IPR045860_1_1-53,none,monomer,genus:Paralvinella,50-72
A0AAR2IQL0_IPR045860_2_10-68,Ly6,multimer,genus:Pygocentrus,50-72
A0AAV2TXJ7_IPR045860_1_18-96,none,monomer,genus:Calicophoron,72-95
A0AAV6G8H9_IPR045860_1_13-75,none,monomer,genus:Alosa,50-72
A0AAV7UZW3_IPR045860_1_18-100,none,monomer,genus:Pleurodeles,72-95
A0AAW0H5M0_IPR016054_1_133-224,mostly_Ly6,monomer,order:Rodentia,72-95
A0AAW1BM20_IPR035076_1_12-82,none,monomer,genus:Crotalus,50-72
A0ABD2Q161_IPR045860_1_23-104,none,monomer,genus:Cichlidogyrus,72-95
K7DZP7_IPR016054_1_21-103,Ly6,monomer,class:Mammalia,72-95
V9IHU1_IPR035076_1_22-80,none,monomer,genus:Apis,50-72
A0A087XWA7_IPR016054_1_18-110,mixture,monomer,order:Cyprinodontiformes,72-95
A0A096LTF5_IPR016054_1_19-110,Ly6,multimer,genus:Poecilia,72-95
A0A0B5H1E4_IPR045860_1_115-192,Ly6,multimer,genus:Lissotriton,72-95
A0A0H4AC85_IPR045860_2_93-170,mixture,multimer,genus:Desmognathus,72-95
A0A0H4AE82_IPR045860_2_93-174,Ly6,multimer,genus:Desmognathus,72-95
A0A0U1RNN0_IPR016054_2_116-202,Ly6,multimer,genus:Mus,72-95
